Hit#    X, mm   Y, mm   Z, mm
0     	8.873	-16.157	-331.114
1	2.202	12.995	-329.377
2	-2.176	6.406	-328.079
3	-11.337	5.805	-329.259
4	-2.660	-10.621	-328.827
5	-20.777	-5.306	-332.412
6	3.165	-13.954	-329.697
7	-9.581	12.918	-330.258
8	12.668	14.837	-331.552
9	-3.462	8.208	-328.417
10	0.988	-6.129	-328.007
11	7.523	16.984	-331.170
12	11.415	17.758	-332.256
13	-18.990	9.979	-332.416
14	7.679	-5.570	-328.524
15	5.977	-10.663	-329.128
16	3.722	4.995	-328.010
17	1.116	1.370	-327.654
18	-2.317	-13.017	-329.388
19	-13.544	12.605	-331.141
20	2.876	-13.002	-329.414
21	-20.252	6.953	-332.397
22	3.931	-13.037	-329.497
23	15.660	7.244	-330.668
24	19.275	-10.290	-332.605
25	13.321	-7.154	-329.944
26	-0.668	4.172	-327.801
27	-10.374	9.687	-329.663
28	4.215	-21.414	-332.593
29	-19.984	9.324	-332.702
30	-15.870	12.266	-331.785
31	0.093	-21.401	-332.392
32	14.300	-9.828	-330.704
33	-17.405	-5.244	-331.015
34	-0.757	-3.296	-327.737
35	7.328	8.091	-328.819
36	12.613	13.758	-331.206
37	18.821	-8.317	-332.014
38	-14.772	1.882	-329.873
39	-11.370	14.529	-331.121
40	10.915	7.167	-329.344
41	-3.083	6.851	-328.186
42	18.122	9.582	-331.980
43	18.422	6.616	-331.579
44	-15.322	-9.669	-330.992
45	-20.535	4.676	-332.234
46	8.559	-8.523	-329.092
47	5.568	22.127	-333.083
48	9.145	2.789	-328.538
49	-18.100	7.098	-331.523
50	16.001	3.828	-330.384
51	-2.085	-7.202	-328.184
52	-5.531	-12.916	-329.621
53	-13.564	-13.403	-331.369
54	7.851	-3.613	-328.370
55	18.014	10.080	-332.044
56	-10.152	-6.639	-329.105
57	14.788	1.533	-329.865
58	-10.673	-15.957	-331.422
59	17.674	4.679	-331.056
60	-12.465	13.448	-331.076
61	4.159	10.727	-328.954
62	-9.091	-10.187	-329.508
63	10.363	2.630	-328.770
64	-5.560	21.679	-332.864
65	4.132	-6.151	-328.171
66	13.416	2.111	-329.487
67	8.191	-0.977	-328.303
68	20.643	1.771	-332.078
69	3.118	1.817	-327.753
70	-19.074	5.272	-331.670
71	-9.974	12.124	-330.130
72	15.950	12.694	-331.929
73	7.859	-18.035	-331.621
74	-4.467	-0.417	-327.823
75	-5.305	-3.251	-328.009
76	9.875	7.790	-329.218
77	-5.408	-15.042	-330.225
78	-1.815	-16.609	-330.473
79	1.870	16.607	-330.474
80	-12.678	-17.579	-332.521
81	-9.290	2.333	-328.542
82	-13.168	-3.860	-329.527
83	-15.089	-13.864	-331.976
84	-0.290	-10.595	-328.750
85	10.349	-9.614	-329.643
86	11.470	-10.642	-330.113
87	2.835	12.002	-329.155
88	1.774	5.630	-327.970
89	0.365	15.159	-329.958
90	-4.945	5.224	-328.139
91	-14.466	8.885	-330.568
92	-8.479	19.929	-332.513
93	2.052	22.018	-332.732
94	1.319	7.299	-328.172
95	6.323	4.232	-328.201
96	3.335	22.515	-333.054
97	0.624	-21.608	-332.494
98	8.780	4.542	-328.602
99	-8.528	-3.633	-328.483
100	20.891	9.140	-333.076
101	2.347	-11.322	-328.967
102	16.938	-8.877	-331.391
