Evt     Eprim   Etot    LXe     LXeTime PMT     PMTTime Seed1           Seed2           First   Flags
#       MeV     MeV     hits    ns      hits    ns                                      hit

93    	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb6p-5	77	0x1.b77821d3aa2adp-15	70	0x1.6a6d5ff3617d5p+5	1	37887240	gamma	gamma electron 
96    	0x1.eb851eb851eb9p-5	0x1.eb851eb851ebap-5	46	0x1.cf2b896b123e3p-18	46	0x1.98734a1648463p+5	1	37887240	gamma	gamma electron 
98    	0x1.eb851eb851eb9p-5	0x1.344a3e79f7cd8p-6	45	0x1.80156ff753093p-12	14	0x1.0031fcc78f692p+5	1	37887240	e-	electron 
101   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb9p-5	74	0x1.d09a024ec49c4p-10	82	0x1.782c782c3d454p+5	1	37887240	gamma	gamma electron 
102   	0x1.eb851eb851eb9p-5	0x1.ef1a6a0e91934p-6	22	0x1.5460a848bec4ap-18	25	0x1.709bf90bc2a4bp+5	1	37887240	gamma	gamma electron 
105   	0x1.eb851eb851eb9p-5	0x1.f47f2ddd88dcbp-6	28	0x1.0fd2c69b75f5p-17	24	0x1.5efc78eff8b55p+5	1	37887240	gamma	gamma electron 
110   	0x1.eb851eb851eb9p-5	0x1.eb851eb851ebbp-5	55	0x1.d2217008fa54ep-18	50	0x1.439addc16dfe7p+5	1	37887240	gamma	gamma electron 
115   	0x1.eb851eb851eb9p-5	0x1.eb851eb851ebfp-5	56	0x1.3e70627086e4bp-16	61	0x1.7a7b881b45e84p+5	1	37887240	gamma	gamma electron 
121   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb7p-5	57	0x1.5b3a471112997p-18	59	0x1.3e44efd936d53p+5	1	37887240	gamma	gamma electron 
123   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb7p-5	49	0x1.6a58f8a7caa48p-10	52	0x1.45c4d2c68afc2p+5	1	37887240	gamma	gamma electron 
127   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb4p-5	58	0x1.23fb132a67f1ep-9	56	0x1.9924835a56fcep+5	1	37887240	gamma	gamma electron 
128   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb8p-5	42	0x1.f740f376b1615p-18	54	0x1.7cfc676b84218p+5	1	37887240	gamma	gamma electron 
130   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb6p-5	65	0x1.adb7f8803beb2p-14	47	0x1.81578db6022b4p+5	1	37887240	gamma	gamma electron 
134   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb5p-5	64	0x1.a1fa9010cc574p-18	45	0x1.575e95103a968p+5	1	37887240	gamma	gamma electron 
138   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb8p-5	64	0x1.d30c50d44d08cp-18	57	0x1.97c1d9850cb99p+5	1	37887240	gamma	gamma electron 
