INSTITUTE  (1USALAS)
REFERENCE  (J,NSE,110,289,199203)
AUTHOR     (W.B.AMIAN,R.C.BYRD,D.A.CLARK,C.A.GOULDING,M.M.MEIER,
           G.L.MORGAN,C.E.MOSS)
TITLE      Differential Neutron Production Cross Sections for
            597-MeV Protons
FACILITY   (MESON) WNR at LAMPF.
METHOD     (TOF) Neutron energy determined by time-of-flight.
DETECTOR   (SCIN) Cylindrical plastic scintillators at 3 energy
            biases.  Efficiency calibrated relative to 7Li(p,n)7Be
            reaction.
           Proton beam monitored using secondary electron monitor.
ANALYSIS   Data averaged over bins widths. Neutron energy given
            midpoint of bin.  The resolution given is the bin
            width.
CORRECTION Corrected for
           . dead-time,
           . background,
           . beam attenuation,
           . detector efficiency and solid angle.
ERR-ANALYS (DATA-ERR) Uncertainties include statitical uncertainty
            and uncertainty in background and shadow-bar
            corrections.
STATUS     Data received by email, R. Byrd, 10 September 1998.
           (APRVD) Approved by M. Meier, 21 May 1999.
HISTORY    (19980911C)
           (19990521A) Data units corrected.
EN
 30.        9.2500E+01 5.0000E+00 1.4770E-04 6.1870E-06
 30.        9.7500E+01 5.0000E+00 1.3120E-04 5.8440E-06
 30.        1.0750E+02 1.0000E+01 1.2800E-04 4.0040E-06
 30.        1.1500E+02 1.0000E+01 1.2850E-04 3.8930E-06
 30.        1.2500E+02 1.0000E+01 1.1440E-04 4.1650E-06
 30.        1.3500E+02 1.0000E+01 1.1860E-04 3.9860E-06
 30.        1.4500E+02 1.0000E+01 1.2130E-04 3.5650E-06
 30.        1.5500E+02 1.0000E+01 1.1680E-04 3.5040E-06
 30.        1.6500E+02 1.0000E+01 1.1130E-04 3.7610E-06
 30.        1.7500E+02 1.0000E+01 1.0360E-04 3.8970E-06
 30.        1.8500E+02 1.0000E+01 1.0640E-04 3.4630E-06
 30.        1.9500E+02 1.0000E+01 1.0250E-04 3.2590E-06
 30.        2.1000E+02 2.0000E+01 9.4140E-05 2.2970E-06
 30.        2.3000E+02 2.0000E+01 8.9330E-05 2.2920E-06
 30.        2.5000E+02 2.0000E+01 8.6020E-05 2.1940E-06
 30.        2.7000E+02 2.0000E+01 7.8630E-05 2.0430E-06
 30.        2.9000E+02 2.0000E+01 7.3310E-05 1.9900E-06
 30.        3.1000E+02 2.0000E+01 6.7850E-05 2.0960E-06
 30.        3.3000E+02 2.0000E+01 6.7550E-05 2.0760E-06
 30.        3.5000E+02 2.0000E+01 6.8210E-05 1.9940E-06
 30.        3.7000E+02 2.0000E+01 6.9290E-05 1.9920E-06
 30.        3.9000E+02 2.0000E+01 6.7880E-05 1.9000E-06
 30.        4.1000E+02 2.0000E+01 6.7640E-05 1.9430E-06
 30.        4.3000E+02 2.0000E+01 6.2300E-05 1.8060E-06
 30.        4.5000E+02 2.0000E+01 5.5860E-05 1.6750E-06
 30.        4.7000E+02 2.0000E+01 4.3770E-05 1.5390E-06
 30.        4.9000E+02 2.0000E+01 3.2050E-05 1.2220E-06
 30.        5.2500E+02 2.0000E+01 1.5210E-05 5.4240E-07
 30.        5.7500E+02 2.0000E+01 2.0360E-06 2.9490E-07
 60.        1.0750E+00 1.0000E-01 0.0        0.0
 60.        1.0750E+00 1.0000E-01 1.8070E-03 6.2460E-04
 60.        1.1500E+00 1.0000E-01 1.4890E-03 5.0340E-04
 60.        1.2500E+00 1.0000E-01 1.5900E-03 4.6250E-04
 60.        1.3500E+00 1.0000E-01 1.2560E-03 4.5480E-04
 60.        1.4500E+00 1.0000E-01 1.2420E-03 3.9950E-04
 60.        1.5500E+00 1.0000E-01 1.1420E-03 3.8710E-04
 60.        1.6500E+00 1.0000E-01 1.1050E-03 3.6760E-04
 60.        1.7500E+00 1.0000E-01 1.1250E-03 3.4710E-04
 60.        1.8500E+00 1.0000E-01 1.1530E-03 3.4800E-04
 60.        1.9500E+00 1.0000E-01 1.1810E-03 3.4620E-04
 60.        2.1000E+00 2.0000E-01 1.0140E-03 2.0890E-04
 60.        2.3000E+00 2.0000E-01 1.0480E-03 2.4700E-04
 60.        2.5000E+00 2.0000E-01 1.3380E-03 2.7400E-04
 60.        2.7000E+00 2.0000E-01 1.0680E-03 2.3770E-04
 60.        2.9000E+00 2.0000E-01 1.0440E-03 2.5860E-04
 60.        3.1000E+00 2.0000E-01 9.6800E-04 2.4210E-04
 60.        3.3000E+00 2.0000E-01 7.8590E-04 2.1850E-04
 60.        3.5000E+00 2.0000E-01 7.0550E-04 2.0550E-04
 60.        3.7000E+00 2.0000E-01 7.5670E-04 2.0170E-04
 60.        3.9000E+00 2.0000E-01 6.0440E-04 1.8050E-04
