# mesh name: boxMesh_2
# primitive scorer name: dose
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
0,0,96,3.115833637077618e-07,1.284116780373657e-15,112
0,0,97,3.805858846250659e-07,1.868534775422384e-15,124
0,0,98,3.842061181954308e-07,1.67429484169009e-15,128
0,0,99,3.847168464121193e-07,1.766168755666512e-15,127
0,0,100,3.286732624658201e-07,1.5164649927637e-15,114
0,0,101,3.879397880407312e-07,2.006054685121764e-15,120
0,0,102,4.473119613705709e-07,2.327546213686809e-15,121
0,0,103,3.982654979184457e-07,1.87532959892985e-15,130
0,0,104,2.556233572286408e-07,1.164513769950148e-15,94
0,0,105,2.594244811297915e-07,1.230688790738292e-15,85
0,0,106,2.973417992174015e-07,1.480482718240544e-15,101
0,0,107,2.851632926605986e-07,1.364513261055879e-15,89
0,0,108,2.739793944190078e-07,1.319783672957453e-15,95
0,0,109,3.273920432258973e-07,1.53129415049869e-15,111
0,0,110,4.479082863358196e-07,2.351310571034044e-15,135
0,0,111,4.124277192061472e-07,1.972372002457453e-15,129
0,0,112,3.926210959252782e-07,2.017354968517944e-15,122
0,0,113,3.094942853250796e-07,1.330737828421675e-15,112
0,0,114,3.294756520105712e-07,1.632369212496628e-15,105
0,0,115,3.067698308170289e-07,1.512115408618798e-15,97
0,0,116,3.405482726743107e-07,1.660364923101802e-15,112
0,0,117,3.68974351248547e-07,1.775979960954804e-15,114
0,0,118,3.964831275491948e-07,1.976008831284953e-15,126
0,0,119,3.429521345467833e-07,1.468213656269087e-15,117
0,0,120,3.118559981448814e-07,1.410775200592898e-15,107
0,0,121,4.011124501607945e-07,2.142479436408808e-15,112
0,0,122,3.276587169687574e-07,1.560662211347692e-15,104
0,0,123,2.755726580231952e-07,1.320782797696447e-15,88
0,0,124,2.39685650171042e-07,1.199342431139117e-15,73
0,0,125,1.542793648804395e-07,6.559334206859776e-16,54
0,0,126,1.494209254853765e-07,6.548051796278179e-16,56
0,0,127,9.957208745683847e-08,3.805210105382351e-16,43
0,0,128,6.699348980955911e-08,2.426781269148668e-16,26
0,0,129,5.568306989806121e-08,1.932699515104676e-16,23
0,0,130,5.319886709677348e-08,2.415512610844049e-16,21
0,0,131,2.545497040331884e-08,5.549175188143257e-17,13
0,0,132,1.826047936584872e-08,4.08901882511628e-17,10
0,0,133,2.654008621474118e-08,1.219315469403905e-16,9
0,0,134,1.296917175332692e-08,2.597075035510628e-17,7
0,0,135,1.534349083592942e-08,3.274989362573665e-17,9
0,0,136,1.62136173014964e-08,5.319792042076549e-17,8
0,0,137,1.145264321218038e-08,2.665274143974248e-17,7
0,0,138,1.565735061772536e-08,7.388799036761136e-17,5
0,0,139,1.920835913655164e-08,8.408297866347655e-17,7
0,0,140,1.160949997682959e-08,5.496452441474142e-17,7
0,0,141,1.091942840397022e-08,2.970577393161697e-17,5
0,0,142,1.90630401095535e-08,1.058663435967231e-16,5
0,0,143,5.451966836205143e-09,1.015871077213457e-17,3
0,0,144,4.376151444057124e-09,1.149552942232853e-17,2
0,0,145,2.034856113412539e-09,4.140639402292383e-18,1
0,0,146,2.747184833996294e-09,7.547024512139247e-18,1
0,0,147,1.835120153996478e-09,3.359207238360112e-18,2
0,0,148,1.585920405462076e-08,1.257595081785152e-16,2
0,0,149,5.174463981039635e-10,2.677507749107655e-19,1
