INSTITUTE  (1USALAS,2GERJUL)
REFERENCE  (J,NSE,102,310,198907)
           (R,LA-11518,198903)
AUTHOR     (M.M.MEIER,D.A.CLARK,C.A.GOULDING,J.B.MCCLELLAND,
           G.L.MORGAN,C.E.MOSS,W.B.AMIAN)
TITLE      Differential Neutron Production Cross Sections and
            Neutron Yields from Stopping-Length Targets for
            113-MeV Protons
FACILITY   (MESON) WNR at LAMPF.
METHOD     (TOF) Neutron energy determined by time-of-flight.
DETECTOR   (SCIN) Cylindrical plastic scintillators at 3 energy
            biases.  Efficiency calibrated relative to 7Li(p,n)7Be
            reaction.
           Proton beam monitored using secondary electron monitor.
ANALYSIS   Data averaged over bins widths. Neutron energy given
            midpoint of bin.  The resolution given is the bin
            width.
CORRECTION Corrected for
           . dead time,
           . background,
           . beam attenuation,
           . detector efficiency and solid angle.
ERR-ANALYS (DATA-ERR) Uncertainties include statitical uncertainty
            and uncertainty in background and shadow-bar
            corrections.
STATUS     Data received by email, R. Byrd, 10 September 1998.
           (APRVD) Approved with corrections by M. Meier, 21 May
  7.5       4.5000E+01 2.0000E+00 6.2390E-04 1.8360E-05
  7.5       4.7000E+01 2.0000E+00 6.5340E-04 1.8780E-05
  7.5       4.9000E+01 2.0000E+00 6.9570E-04 1.8700E-05
  7.5       5.2500E+01 5.0000E+00 6.7240E-04 1.2160E-05
  7.5       5.7500E+01 5.0000E+00 6.9500E-04 1.2530E-05
  7.5       6.2500E+01 5.0000E+00 7.4040E-04 1.2920E-05
  7.5       6.7500E+01 5.0000E+00 7.7860E-04 1.3220E-05
  7.5       7.2500E+01 5.0000E+00 7.7380E-04 1.3680E-05
  7.5       7.7500E+01 5.0000E+00 8.7300E-04 1.4980E-05
  7.5       8.2500E+01 5.0000E+00 1.2530E-03 1.8110E-05
  7.5       8.7500E+01 5.0000E+00 1.2250E-03 1.7890E-05
  7.5       9.2500E+01 5.0000E+00 7.7240E-04 1.3770E-05
  7.5       9.7500E+01 5.0000E+00 5.5720E-05 7.2330E-06
  7.5       1.0750E+02 1.0000E+01 8.0530E-06 2.1410E-06
  7.5       1.1500E+02 1.0000E+01 5.6910E-07 4.5600E-07
 30.        6.2500E-01 5.0000E-01 7.6390E-04 0.0
 30.        6.2500E-01 5.0000E-01 7.6390E-04 8.8580E-05
 30.        6.7500E-01 5.0000E-01 6.9100E-04 8.2450E-05
 30.        7.2500E-01 5.0000E-01 8.3600E-04 7.8120E-05
 30.        7.7500E-01 5.0000E-01 5.9650E-04 7.5270E-05
 30.        8.2500E-01 5.0000E-01 7.6640E-04 7.4380E-05
 30.        8.7500E-01 5.0000E-01 8.7180E-04 7.2230E-05
 30.        9.2500E-01 5.0000E-01 9.2630E-04 7.4890E-05
 30.        9.7500E-01 5.0000E-01 8.2480E-04 7.2060E-05
 30.        1.0750E+00 1.0000E-01 8.7680E-04 4.7900E-05
 30.        1.1500E+00 1.0000E-01 8.0070E-04 4.2870E-05
 30.        1.2500E+00 1.0000E-01 8.6320E-04 4.2830E-05
 30.        1.3500E+00 1.0000E-01 7.5090E-04 3.9910E-05
 30.        1.4500E+00 1.0000E-01 7.6060E-04 3.9010E-05
 30.        1.5500E+00 1.0000E-01 7.9120E-04 3.8400E-05
 30.        1.6500E+00 1.0000E-01 7.7540E-04 3.9620E-05
 30.        1.7500E+00 1.0000E-01 7.9050E-04 3.6850E-05
 30.        1.8500E+00 1.0000E-01 7.5680E-04 3.8100E-05
 30.        1.9500E+00 1.0000E-01 8.2480E-04 3.9390E-05
 30.        2.1000E+00 2.0000E-01 7.5710E-04 2.5290E-05
 30.        2.3000E+00 2.0000E-01 8.4920E-04 2.7790E-05
 30.        2.5000E+00 2.0000E-01 8.5420E-04 2.9550E-05
 30.        2.7000E+00 2.0000E-01 8.0460E-04 2.7590E-05
 30.        2.9000E+00 2.0000E-01 8.0860E-04 2.8170E-05
 30.        3.1000E+00 2.0000E-01 8.1290E-04 2.7820E-05
 30.        3.3000E+00 2.0000E-01 6.5240E-04 2.5000E-05
 30.        3.5000E+00 2.0000E-01 6.6190E-04 2.4690E-05
 30.        3.7000E+00 2.0000E-01 5.8630E-04 2.3540E-05
 30.        3.9000E+00 2.0000E-01 5.8840E-04 2.3140E-05
 30.        4.1000E+00 2.0000E-01 6.0740E-04 2.4000E-05
 30.        4.3000E+00 2.0000E-01 5.9480E-04 2.4130E-05
 30.        4.5000E+00 2.0000E-01 5.4260E-04 2.3040E-05
 30.        4.7000E+00 2.0000E-01 5.9580E-04 2.3520E-05
 30.        4.9000E+00 2.0000E-01 6.1620E-04 2.3640E-05
 30.        5.2500E+00 5.0000E-01 5.7270E-04 1.5360E-05
 30.        5.7500E+00 5.0000E-01 5.3170E-04 1.4510E-05
 30.        6.2500E+00 5.0000E-01 4.5910E-04 1.2790E-05
 30.        6.7500E+00 5.0000E-01 4.5370E-04 1.2640E-05
 30.        7.2500E+00 5.0000E-01 4.1360E-04 1.2650E-05
 30.        7.7500E+00 5.0000E-01 4.4080E-04 1.2400E-05
 30.        8.2500E+00 5.0000E-01 4.2770E-04 1.2290E-05
 30.        8.7500E+00 5.0000E-01 4.1840E-04 1.1980E-05
 30.        9.2500E+00 5.0000E-01 3.9060E-04 1.1860E-05
 30.        9.7500E+00 5.0000E-01 3.8230E-04 1.1680E-05
 30.        1.0750E+01 1.0000E+00 3.6990E-04 8.0570E-06
 30.        1.1500E+01 1.0000E+00 3.6110E-04 8.0220E-06
 30.        1.2500E+01 1.0000E+00 3.6360E-04 8.0490E-06
 30.        1.3500E+01 1.0000E+00 3.5860E-04 8.0610E-06
 30.        1.4500E+01 1.0000E+00 3.5810E-04 8.1140E-06
 30.        1.5500E+01 1.0000E+00 3.6510E-04 8.2060E-06
 30.        1.6500E+01 1.0000E+00 3.8300E-04 8.5100E-06
 30.        1.7500E+01 1.0000E+00 3.7680E-04 8.5280E-06
 30.        1.8500E+01 1.0000E+00 3.7230E-04 8.5770E-06
 30.        1.9500E+01 1.0000E+00 3.6210E-04 8.7390E-06
