TITLE      NEUTRON FROM (D,N) REACTION ON 27AL,53CR,90,94ZR,
           122SN,181TA.
AUTHOR     (N.S.BIRYUKOV,B.V.ZHURAVLEV,A.P.RUDENKO,V.I.TRYKOVA)
INSTITUTE  (4CCPFEI)
REFERENCE  (J,YK,,(2),7,86)
FACILITY   (CYCLO,4CCPFEI)
METHOD     (TOF,BCINT,SITA)
PART-DET   (N)
ERR-ANALYS (DATA-ERR).TOTAL UNCERTAINTY.
           (EN-ERR).ANY ADDITIONAL INFORMATION IS ABSENT.
REACTION   (40-ZR-94(D,X)0-NN-1,,DA/DE,,,EXP)
SAMPLE     ZR-94(91.2 PERCENT).THICKNESS OF FOIL=4.91E-3G/CM**2
MEV        MEV
 2.2300E+01 3.0000E-01
DATA                 4        383
E          ANG        DATA       DATA-ERR
MEV        ADEG       MB/SR/MEV  MB/SR/MEV
 4.2200E+00 1.2000E+02 2.3170E+01 9.6000E-01
 4.2200E+00 1.5000E+02 2.2280E+01 9.4000E-01
 4.4000E+00 3.0000E+01 2.8070E+01 1.8400E+00
 4.4000E+00 6.0000E+01 2.3780E+01 1.0400E+00
 4.4000E+00 9.0000E+01 2.0110E+01 9.0000E-01
 4.4000E+00 1.2000E+02 2.1020E+01 8.7000E-01
 4.4000E+00 1.5000E+02 2.0140E+01 9.3000E-01
 4.5900E+00 3.0000E+01 2.7090E+01 1.4800E+00
 4.5900E+00 6.0000E+01 2.1870E+01 9.0000E-01
 4.5900E+00 9.0000E+01 1.8690E+01 7.8000E-01
 4.5900E+00 1.2000E+02 1.8790E+01 8.5000E-01
 4.5900E+00 1.5000E+02 1.8550E+01 7.9000E-01
 4.7900E+00 3.0000E+01 2.5780E+01 1.7400E+00
 4.7900E+00 6.0000E+01 1.9690E+01 8.7000E-01
 4.7900E+00 9.0000E+01 1.7160E+01 7.8000E-01
 4.7900E+00 1.2000E+02 1.6800E+01 7.1000E-01
 4.7900E+00 1.5000E+02 1.6520E+01 7.9000E-01
 5.0100E+00 3.0000E+01 2.3870E+01 1.4000E+00
 5.0100E+00 6.0000E+01 1.7800E+01 7.5000E-01
 5.0100E+00 9.0000E+01 1.5800E+01 6.7000E-01
 5.0100E+00 1.2000E+02 1.5650E+01 7.2000E-01
 5.0100E+00 1.5000E+02 1.4960E+01 6.6000E-01
 5.2400E+00 3.0000E+01 2.3610E+01 1.5800E+00
 5.2400E+00 6.0000E+01 1.6360E+01 7.4000E-01
 5.2400E+00 9.0000E+01 1.4040E+01 6.5000E-01
