REFERENCE  (R,KFK-3779,11,84)
AUTHOR     (D.FILGES,S.CIERJACKS,Y.HINO,T.W.ARMSTRONG,P.CLOTH)
TITLE      VALIDATION OF THE INTRA-NUCLEAR CASCADE EVAPORATION
            MODEL FOR PARTICLE PRODUCTION.
METHOD     (TOF) 1.3M FLIGHT PATH FOR 30, 90, AND 150 DEGREE
                 MEASUREMENTS AND 2.3M FLIGHT PATH FOR 23 DEGREE
                 MEASUREMENTS. SEE CIERJACKS ET AL 81ANTWER, P.383
FACILITY   (CYCLO)
MONITOR    PROTON MONITOR INVOLVED A THIN GRAPHITE SCATTERER
            PLACED IN PROTON BEAM FAR UPSTREAM OF NEUTRON
            PRODUCING TARGET, AND FORWARD SCATTERED PROTONS AT 30
            DEGREE WERE DETECTED BY A PLASTIC SCINTILLATOR
            DETECTOR
DETECTOR   (SCIN) NE213 LIQUID SCINTILLATOR.
ERR-ANALYS (DATA-ERR)NEUTRON ENERGY RESOLUTION RANGED BETWEEN
             1.8 AND 33.8 PERCENT FOR NEUTRONS IN THE ENERGY RANGE
             1 TO 500 MEV.
STATUS     DATA RECEIVED FROM AUTHOR ON 87/3/20.
           (APRVD) S.CIERJACKS, 870430.
MEV
 5.9000E+02
REACTION   (26-FE-56(P,X)0-NN-1,,DA/DE,N)
ADEG
 3.0000E+01
DATA                 6         41
E-MIN      E-MAX      +E-ERR     -E-ERR     DATA       DATA-ERR
MEV        MEV        MEV        MEV        B/SR/MEV   B/SR/MEV
 2.0260E+00 2.3830E+00 2.1000E-01 1.8000E-01 2.1240E-02 2.3750E-03
 2.3830E+00 2.8040E+00 2.4000E-01 2.1000E-01 2.0650E-02 2.3090E-03
 2.8040E+00 3.2990E+00 2.9000E-01 2.5000E-01 1.8680E-02 2.0890E-03
 3.2990E+00 3.8810E+00 3.4000E-01 3.0000E-01 1.6130E-02 1.8030E-03
 3.8810E+00 4.5660E+00 4.0000E-01 3.5000E-01 1.3570E-02 1.5170E-03
 4.5660E+00 5.3730E+00 4.6000E-01 4.1000E-01 1.1380E-02 1.2730E-03
 5.3730E+00 6.3210E+00 5.5000E-01 4.8000E-01 8.6950E-03 9.7230E-04
 6.3210E+00 7.4360E+00 6.4000E-01 5.7000E-01 6.8930E-03 7.7080E-04
 7.4360E+00 8.7490E+00 7.6000E-01 6.7000E-01 5.2900E-03 5.9160E-04
 8.7490E+00 1.0293E+01 8.9000E-01 7.9000E-01 3.7970E-03 4.2460E-04
 1.0293E+01 1.2108E+01 1.0500E+00 9.3000E-01 2.7890E-03 3.1180E-04
 1.2108E+01 1.4244E+01 1.2300E+00 1.0900E+00 1.9900E-03 2.2250E-04
 1.4244E+01 1.6758E+01 1.4500E+00 1.2800E+00 1.5800E-03 1.7670E-04
 1.6758E+01 1.9716E+01 1.7100E+00 1.5100E+00 1.4270E-03 1.5960E-04
 1.9716E+01 2.3195E+01 2.0100E+00 1.7700E+00 1.3770E-03 1.5400E-04
 2.3195E+01 2.7288E+01 2.3600E+00 2.0900E+00 1.2300E-03 1.3760E-04
 2.7288E+01 3.2105E+01 2.7800E+00 2.4500E+00 1.0680E-03 1.1940E-04
 3.2105E+01 3.7769E+01 3.2700E+00 2.8900E+00 9.6280E-04 1.0770E-04
 3.7769E+01 4.4434E+01 3.8700E+00 3.4100E+00 8.6060E-04 9.6290E-05
 4.4434E+01 5.2275E+01 4.9900E+00 4.3500E+00 8.2430E-04 9.2240E-05
 5.2275E+01 6.1499E+01 6.4600E+00 5.5600E+00 7.3490E-04 8.2230E-05
 6.1499E+01 7.2350E+01 8.3800E+00 7.1000E+00 6.2010E-04 6.9400E-05
 7.2350E+01 8.5115E+01 1.0900E+01 9.0800E+00 5.4720E-04 6.1250E-05
 8.5115E+01 1.0013E+02 1.4220E+01 1.1620E+01 4.3670E-04 4.8900E-05
 1.0013E+02 1.1780E+02 1.8610E+01 1.4880E+01 3.8000E-04 4.2560E-05
 1.1780E+02 1.3858E+02 2.4460E+01 1.9060E+01 2.8060E-04 3.1450E-05
 1.3858E+02 1.6302E+02 3.2300E+01 2.4450E+01 2.0750E-04 2.3280E-05
 1.6302E+02 1.9178E+02 4.2920E+01 3.1400E+01 1.4360E-04 1.6130E-05
 1.9178E+02 2.2561E+02 5.7440E+01 4.0370E+01 9.3410E-05 1.0520E-05
 2.2561E+02 2.6540E+02 7.7550E+01 5.1950E+01 5.7630E-05 6.5170E-06
 2.6540E+02 3.1220E+02 1.0587E+02 6.6940E+01 3.4490E-05 3.9290E-06
 3.1220E+02 3.6726E+02 1.4657E+02 8.6350E+01 1.3350E-05 1.5650E-06
 3.6726E+02 4.3202E+02 2.0662E+02 1.1149E+02 3.7470E-06 4.8780E-07
ADEG
 1.5000E+02
DATA                 6         38
E-MIN      E-MAX      +E-ERR     -E-ERR     DATA       DATA-ERR
MEV        MEV        MEV        MEV        B/SR/MEV   B/SR/MEV
 7.4000E-01 8.9900E-01 8.0000E-02 7.0000E-02 1.6290E-02 1.8210E-03
 8.9900E-01 1.0570E+00 9.0000E-02 8.0000E-02 1.7200E-02 1.9230E-03
 1.0570E+00 1.2440E+00 1.1000E-01 9.0000E-02 1.7000E-02 1.9010E-03
 1.2440E+00 1.4630E+00 1.3000E-01 1.1000E-01 1.7830E-02 1.9930E-03
 1.4630E+00 1.7220E+00 1.5000E-01 1.3000E-01 1.8830E-02 2.1050E-03
 1.7220E+00 2.0260E+00 1.8000E-01 1.5000E-01 1.9120E-02 2.1370E-03
 2.0260E+00 2.3830E+00 2.1000E-01 1.8000E-01 1.6550E-02 1.8500E-03
 2.3830E+00 2.8040E+00 2.4000E-01 2.1000E-01 1.4440E-02 1.6150E-03
 2.8040E+00 3.2990E+00 2.9000E-01 2.5000E-01 1.3610E-02 1.5220E-03
 3.2990E+00 3.8810E+00 3.4000E-01 3.0000E-01 1.1290E-02 1.2630E-03
 3.8810E+00 4.5660E+00 4.0000E-01 3.5000E-01 9.6630E-03 1.0800E-03
 4.5660E+00 5.3730E+00 4.6000E-01 4.1000E-01 7.8170E-03 8.7400E-04
 5.3730E+00 6.3210E+00 5.5000E-01 4.8000E-01 6.4580E-03 7.2210E-04
 6.3210E+00 7.4360E+00 6.4000E-01 5.7000E-01 5.0990E-03 5.7010E-04
 7.4360E+00 8.7490E+00 7.6000E-01 6.7000E-01 3.6610E-03 4.0940E-04
 8.7490E+00 1.0293E+01 8.9000E-01 7.9000E-01 2.6270E-03 2.9380E-04
 1.0293E+01 1.2108E+01 1.0500E+00 9.3000E-01 1.8150E-03 2.0300E-04
 1.2108E+01 1.4244E+01 1.2300E+00 1.0900E+00 1.2370E-03 1.3840E-04
 1.4244E+01 1.6758E+01 1.4500E+00 1.2800E+00 9.2930E-04 1.0400E-04
 1.6758E+01 1.9716E+01 1.7100E+00 1.5100E+00 8.3560E-04 9.3500E-05
 1.9716E+01 2.3195E+01 2.0100E+00 1.7700E+00 7.4200E-04 8.3030E-05
 2.3195E+01 2.7288E+01 2.3600E+00 2.0900E+00 5.1580E-04 5.7740E-05
 2.7288E+01 3.2105E+01 2.7800E+00 2.4500E+00 4.7770E-04 5.3490E-05
 3.2105E+01 3.7769E+01 3.2700E+00 2.8900E+00 3.4760E-04 3.8930E-05
 3.7769E+01 4.4434E+01 3.8500E+00 3.3900E+00 2.9270E-04 3.2800E-05
 4.4434E+01 5.2275E+01 4.7300E+00 4.1500E+00 2.5860E-04 2.8980E-05
 5.2275E+01 6.1499E+01 6.1200E+00 5.3100E+00 2.3190E-04 2.6000E-05
