Collection name='THashList', class='THashList', size=4
 TKey Name = Event_1, Title = object title, Cycle = 1
 TKey Name = Event_2, Title = object title, Cycle = 1
 TKey Name = Event_3, Title = object title, Cycle = 1
 TKey Name = Event_4, Title = object title, Cycle = 1
  trackID: 1  chamberNb: 0  energy deposit[MeV]: 0.0422113  position[mm]: (94.5702,-119.903,-1415.87)
  trackID: 1  chamberNb: 0  energy deposit[MeV]: 0.00560156  position[mm]: (96.1809,-121.829,-1400)
  trackID: 1  chamberNb: 1  energy deposit[MeV]: 0.00186946  position[mm]: (157.256,-194.721,-796.626)
  trackID: 1  chamberNb: 1  energy deposit[MeV]: 0.000211464  position[mm]: (157.488,-194.999,-794.336)
  trackID: 1  chamberNb: 1  energy deposit[MeV]: 0.0245983  position[mm]: (164.543,-203.431,-724.996)
  trackID: 1  chamberNb: 1  energy deposit[MeV]: 0.000244221  position[mm]: (164.639,-203.541,-724.094)
  trackID: 1  chamberNb: 1  energy deposit[MeV]: 0.000592387  position[mm]: (164.698,-203.608,-723.542)
  trackID: 1  chamberNb: 1  energy deposit[MeV]: 0.00711727  position[mm]: (166.144,-205.269,-709.883)
  trackID: 1  chamberNb: 1  energy deposit[MeV]: 0.00125162  position[mm]: (166.388,-205.551,-707.56)
  trackID: 1  chamberNb: 1  energy deposit[MeV]: 0.0356853  position[mm]: (174.76,-215.231,-627.783)
  trackID: 1  chamberNb: 1  energy deposit[MeV]: 0.00101305  position[mm]: (174.967,-215.472,-625.757)
  trackID: 1  chamberNb: 1  energy deposit[MeV]: 0.00383999  position[mm]: (176.131,-216.831,-614.361)
  trackID: 1  chamberNb: 1  energy deposit[MeV]: 0.00400538  position[mm]: (177.595,-218.553,-600)
  trackID: 1  chamberNb: 2  energy deposit[MeV]: 0.00552534  position[mm]: (242.358,-292.462,22.0896)
  trackID: 1  chamberNb: 2  energy deposit[MeV]: 0.0139631  position[mm]: (246.178,-296.687,58.668)
  trackID: 1  chamberNb: 2  energy deposit[MeV]: 0.0021955  position[mm]: (246.687,-297.247,63.5306)
  trackID: 1  chamberNb: 2  energy deposit[MeV]: 0.0289367  position[mm]: (255.754,-307.258,150.381)
  trackID: 1  chamberNb: 2  energy deposit[MeV]: 0.00906062  position[mm]: (259.189,-311.223,184.885)
  trackID: 1  chamberNb: 2  energy deposit[MeV]: 0.00507229  position[mm]: (260.7,-312.971,200)
  trackID: 1  chamberNb: 3  energy deposit[MeV]: 0.00338183  position[mm]: (322.577,-385.17,813.835)
  trackID: 1  chamberNb: 3  energy deposit[MeV]: 2.37227e-05  position[mm]: (322.589,-385.184,813.954)
  trackID: 1  chamberNb: 3  energy deposit[MeV]: 0.0134008  position[mm]: (326.717,-390.034,854.684)
  trackID: 1  chamberNb: 3  energy deposit[MeV]: 0.0162285  position[mm]: (330.257,-394.442,890.501)
  trackID: 1  chamberNb: 3  energy deposit[MeV]: 3.27687e-05  position[mm]: (330.322,-394.522,891.152)
  trackID: 1  chamberNb: 3  energy deposit[MeV]: 0.0087582  position[mm]: (333.099,-397.949,919.072)
  trackID: 1  chamberNb: 3  energy deposit[MeV]: 0.00455381  position[mm]: (334.743,-399.968,935.548)
  trackID: 1  chamberNb: 3  energy deposit[MeV]: 0.00353959  position[mm]: (335.268,-400.606,940.762)
  trackID: 1  chamberNb: 3  energy deposit[MeV]: 0.000496612  position[mm]: (335.556,-400.956,943.626)
  trackID: 1  chamberNb: 3  energy deposit[MeV]: 0.0207933  position[mm]: (340.847,-407.366,996.031)
  trackID: 1  chamberNb: 3  energy deposit[MeV]: 0.00137537  position[mm]: (341.249,-407.855,1000)
  trackID: 1  chamberNb: 4  energy deposit[MeV]: 0.00857234  position[mm]: (404.054,-484.37,1624.61)
  trackID: 1  chamberNb: 4  energy deposit[MeV]: 0.0176779  position[mm]: (407.543,-489.07,1664.45)
  trackID: 1  chamberNb: 4  energy deposit[MeV]: 0.00457182  position[mm]: (408.781,-490.786,1678.95)
  trackID: 1  chamberNb: 4  energy deposit[MeV]: 0.00736267  position[mm]: (410.019,-492.52,1693.63)
  trackID: 1  chamberNb: 4  energy deposit[MeV]: 0.00121565  position[mm]: (410.599,-493.322,1700.4)
  trackID: 1  chamberNb: 4  energy deposit[MeV]: 0.00948518  position[mm]: (412.361,-495.741,1720.81)
  trackID: 1  chamberNb: 4  energy deposit[MeV]: 0.00139143  position[mm]: (412.742,-496.24,1725.1)
  trackID: 1  chamberNb: 4  energy deposit[MeV]: 0.0167707  position[mm]: (415.538,-499.91,1756.58)
  trackID: 1  chamberNb: 4  energy deposit[MeV]: 0.017903  position[mm]: (418.656,-504.007,1791.33)
  trackID: 1  chamberNb: 4  energy deposit[MeV]: 0.000803349  position[mm]: (419.433,-505.042,1800)
  trackID: 81  chamberNb: 4  energy deposit[MeV]: 0.00167461  position[mm]: (418.65,-504.016,1791.33)
  trackID: 80  chamberNb: 4  energy deposit[MeV]: 0.00259844  position[mm]: (415.52,-499.915,1756.58)
  trackID: 79  chamberNb: 4  energy deposit[MeV]: 0.00256507  position[mm]: (412.52,-495.993,1725.2)
  trackID: 79  chamberNb: 4  energy deposit[MeV]: 0.00616758  position[mm]: (412.76,-495.98,1725.2)
  trackID: 79  chamberNb: 4  energy deposit[MeV]: 0.00840052  position[mm]: (412.802,-495.996,1725.29)
  trackID: 102  chamberNb: 4  energy deposit[MeV]: 0.00210925  position[mm]: (412.52,-495.989,1725.19)
  trackID: 78  chamberNb: 4  energy deposit[MeV]: 0.0025186  position[mm]: (412.361,-495.759,1720.81)
  trackID: 77  chamberNb: 4  energy deposit[MeV]: 0.0106525  position[mm]: (410.635,-493.486,1700.4)
  trackID: 77  chamberNb: 4  energy deposit[MeV]: 0.00102934  position[mm]: (410.638,-493.487,1700.4)
  trackID: 76  chamberNb: 4  energy deposit[MeV]: 0.00910636  position[mm]: (409.91,-492.549,1693.65)
  trackID: 75  chamberNb: 4  energy deposit[MeV]: 0.000448142  position[mm]: (408.786,-490.759,1679.23)
  trackID: 75  chamberNb: 4  energy deposit[MeV]: 0.00317564  position[mm]: (408.769,-490.74,1679.23)
  trackID: 103  chamberNb: 4  energy deposit[MeV]: 0.00277757  position[mm]: (408.77,-490.773,1679.23)
  trackID: 74  chamberNb: 4  energy deposit[MeV]: 0.000932763  position[mm]: (408.795,-490.751,1678.95)
  trackID: 74  chamberNb: 4  energy deposit[MeV]: 0.0020601  position[mm]: (408.798,-490.752,1678.94)
  trackID: 104  chamberNb: 4  energy deposit[MeV]: 0.00138744  position[mm]: (408.795,-490.743,1678.95)
  trackID: 73  chamberNb: 4  energy deposit[MeV]: 0.00154607  position[mm]: (407.535,-489.064,1664.45)
  trackID: 72  chamberNb: 4  energy deposit[MeV]: 0.00200592  position[mm]: (404.066,-484.365,1624.61)
  trackID: 65  chamberNb: 3  energy deposit[MeV]: 0.00147985  position[mm]: (340.841,-407.36,996.033)
  trackID: 64  chamberNb: 3  energy deposit[MeV]: 0.00231614  position[mm]: (335.494,-400.868,943.654)
  trackID: 64  chamberNb: 3  energy deposit[MeV]: 0.00508228  position[mm]: (335.464,-400.905,943.662)
  trackID: 105  chamberNb: 3  energy deposit[MeV]: 0.00160359  position[mm]: (335.5,-400.871,943.662)
  trackID: 63  chamberNb: 3  energy deposit[MeV]: 0.00207894  position[mm]: (335.264,-400.593,940.764)
  trackID: 62  chamberNb: 3  energy deposit[MeV]: 0.00232869  position[mm]: (334.75,-399.953,935.55)
  trackID: 61  chamberNb: 3  energy deposit[MeV]: 0.00428642  position[mm]: (333.108,-397.913,919.078)
  trackID: 60  chamberNb: 3  energy deposit[MeV]: 0.00183778  position[mm]: (330.315,-394.532,891.152)
  trackID: 59  chamberNb: 3  energy deposit[MeV]: 0.00244075  position[mm]: (326.7,-390.04,854.686)
  trackID: 58  chamberNb: 3  energy deposit[MeV]: 0.0123048  position[mm]: (322.55,-385.011,814)
  trackID: 57  chamberNb: 3  energy deposit[MeV]: 0.00261784  position[mm]: (322.559,-385.163,813.839)
  trackID: 52  chamberNb: 2  energy deposit[MeV]: 0.00148844  position[mm]: (259.199,-311.225,184.884)
  trackID: 51  chamberNb: 2  energy deposit[MeV]: 0.00431913  position[mm]: (255.739,-307.224,150.389)
  trackID: 50  chamberNb: 2  energy deposit[MeV]: 0.00143126  position[mm]: (246.696,-297.248,63.5299)
  trackID: 49  chamberNb: 2  energy deposit[MeV]: 0.00175696  position[mm]: (246.167,-296.688,58.6696)
  trackID: 48  chamberNb: 2  energy deposit[MeV]: 0.00581305  position[mm]: (242.125,-293.181,22.1752)
  trackID: 48  chamberNb: 2  energy deposit[MeV]: 0.00389578  position[mm]: (242.482,-293.445,22.4697)
  trackID: 48  chamberNb: 2  energy deposit[MeV]: 0.00765901  position[mm]: (242.26,-293.599,22.665)
  trackID: 48  chamberNb: 2  energy deposit[MeV]: 0.00418824  position[mm]: (242.353,-293.575,22.5611)
  trackID: 48  chamberNb: 2  energy deposit[MeV]: 0.004604  position[mm]: (242.328,-293.561,22.5299)
  trackID: 109  chamberNb: 2  energy deposit[MeV]: 0.00166033  position[mm]: (242.361,-293.57,22.5562)
  trackID: 108  chamberNb: 2  energy deposit[MeV]: 0.00269017  position[mm]: (242.496,-293.447,22.4844)
  trackID: 107  chamberNb: 2  energy deposit[MeV]: 0.00290699  position[mm]: (242.116,-293.2,22.1679)
  trackID: 38  chamberNb: 1  energy deposit[MeV]: 0.00316667  position[mm]: (176.154,-216.822,-614.361)
  trackID: 37  chamberNb: 1  energy deposit[MeV]: 0.0016564  position[mm]: (174.966,-215.483,-625.758)
  trackID: 36  chamberNb: 1  energy deposit[MeV]: 0.0028997  position[mm]: (174.757,-215.253,-627.784)
  trackID: 35  chamberNb: 1  energy deposit[MeV]: 0.00736576  position[mm]: (166.47,-205.466,-707.546)
  trackID: 35  chamberNb: 1  energy deposit[MeV]: 0.00200042  position[mm]: (166.463,-205.476,-707.541)
  trackID: 34  chamberNb: 1  energy deposit[MeV]: 0.00385717  position[mm]: (166.172,-205.285,-709.886)
  trackID: 33  chamberNb: 1  energy deposit[MeV]: 0.00509886  position[mm]: (164.83,-203.847,-723.549)
  trackID: 33  chamberNb: 1  energy deposit[MeV]: 0.00813502  position[mm]: (164.839,-203.915,-723.681)
  trackID: 33  chamberNb: 1  energy deposit[MeV]: 0.00263497  position[mm]: (164.846,-203.9,-723.671)
  trackID: 32  chamberNb: 1  energy deposit[MeV]: 0.00233784  position[mm]: (164.624,-203.547,-724.092)
  trackID: 31  chamberNb: 1  energy deposit[MeV]: 0.00279219  position[mm]: (164.561,-203.443,-724.998)
  trackID: 30  chamberNb: 1  energy deposit[MeV]: 0.00463905  position[mm]: (157.495,-194.957,-794.328)
  trackID: 29  chamberNb: 1  energy deposit[MeV]: 0.00179873  position[mm]: (157.249,-194.731,-796.626)
  trackID: 28  chamberNb: 1  energy deposit[MeV]: 9.31392e-05  position[mm]: (155.221,-189.774,-799.98)
  trackID: 28  chamberNb: 1  energy deposit[MeV]: 0.000283494  position[mm]: (155.277,-189.78,-799.943)
  trackID: 28  chamberNb: 1  energy deposit[MeV]: 0.000155859  position[mm]: (155.334,-189.762,-799.929)
  trackID: 28  chamberNb: 1  energy deposit[MeV]: 0.000573641  position[mm]: (155.391,-189.771,-799.911)
  trackID: 28  chamberNb: 1  energy deposit[MeV]: 0.000363899  position[mm]: (155.458,-189.765,-799.931)
  trackID: 28  chamberNb: 1  energy deposit[MeV]: 0.000149037  position[mm]: (155.517,-189.779,-799.95)
  trackID: 28  chamberNb: 1  energy deposit[MeV]: 3.25362e-05  position[mm]: (155.572,-189.776,-799.964)
  trackID: 28  chamberNb: 1  energy deposit[MeV]: 4.40535e-05  position[mm]: (155.606,-189.764,-800)
  trackID: 28  chamberNb: 1  energy deposit[MeV]: 4.67757e-05  position[mm]: (155.618,-189.383,-799.961)
  trackID: 28  chamberNb: 1  energy deposit[MeV]: 0.000620375  position[mm]: (155.614,-189.369,-799.929)
  trackID: 28  chamberNb: 1  energy deposit[MeV]: 0.000566064  position[mm]: (155.608,-189.383,-799.891)
  trackID: 28  chamberNb: 1  energy deposit[MeV]: 0.000717965  position[mm]: (155.635,-189.419,-799.86)
  trackID: 28  chamberNb: 1  energy deposit[MeV]: 0.000119278  position[mm]: (155.663,-189.454,-799.894)
  trackID: 28  chamberNb: 1  energy deposit[MeV]: 0.000578665  position[mm]: (155.705,-189.45,-799.922)
  trackID: 28  chamberNb: 1  energy deposit[MeV]: 2.51551e-05  position[mm]: (155.724,-189.442,-799.897)
  trackID: 28  chamberNb: 1  energy deposit[MeV]: 3.15136e-05  position[mm]: (155.692,-189.461,-799.893)
  trackID: 28  chamberNb: 1  energy deposit[MeV]: 7.49952e-05  position[mm]: (155.675,-189.437,-799.931)
  trackID: 28  chamberNb: 1  energy deposit[MeV]: 0.000141622  position[mm]: (155.67,-189.431,-799.973)
  trackID: 28  chamberNb: 1  energy deposit[MeV]: 0.000513288  position[mm]: (155.644,-189.44,-799.982)
  trackID: 28  chamberNb: 1  energy deposit[MeV]: 0.00035239  position[mm]: (155.628,-189.446,-800)
  trackID: 111  chamberNb: 1  energy deposit[MeV]: 0.00142762  position[mm]: (155.668,-189.446,-799.896)
  trackID: 24  chamberNb: 0  energy deposit[MeV]: 0.00161492  position[mm]: (94.3523,-120.034,-1415.83)
  trackID: 24  chamberNb: 0  energy deposit[MeV]: 0.000704583  position[mm]: (94.3392,-119.953,-1415.8)
  trackID: 24  chamberNb: 0  energy deposit[MeV]: 0.00545338  position[mm]: (94.3572,-119.871,-1415.74)
  trackID: 24  chamberNb: 0  energy deposit[MeV]: 0.0030431  position[mm]: (94.3709,-119.852,-1415.74)
  trackID: 113  chamberNb: 0  energy deposit[MeV]: 0.0030655  position[mm]: (94.3443,-119.939,-1415.82)
  trackID: 112  chamberNb: 0  energy deposit[MeV]: 0.00139388  position[mm]: (94.3571,-120.031,-1415.83)
  trackID: 23  chamberNb: 0  energy deposit[MeV]: 0.00313847  position[mm]: (84.9337,-108.232,-1512.64)
  trackID: 22  chamberNb: 0  energy deposit[MeV]: 0.00171616  position[mm]: (78.9912,-100.919,-1573.47)
Collection: Event_3
Number of hits: 135
  trackID: 1  chamberNb: 0  energy deposit[MeV]: 0.00651115  position[mm]: (164.472,69.3246,-1576.17)
  trackID: 1  chamberNb: 0  energy deposit[MeV]: 0.00264497  position[mm]: (166.345,70.1056,-1566.7)
  trackID: 1  chamberNb: 0  energy deposit[MeV]: 0.0186639  position[mm]: (174.857,73.5887,-1523.93)
  trackID: 1  chamberNb: 0  energy deposit[MeV]: 0.000207139  position[mm]: (175.244,73.7496,-1521.98)
  trackID: 1  chamberNb: 0  energy deposit[MeV]: 0.00185292  position[mm]: (176.238,74.1637,-1516.96)
  trackID: 1  chamberNb: 0  energy deposit[MeV]: 0.0347343  position[mm]: (193.396,81.2988,-1430.51)
  trackID: 1  chamberNb: 0  energy deposit[MeV]: 0.0142987  position[mm]: (199.614,83.8661,-1400)
  trackID: 1  chamberNb: 1  energy deposit[MeV]: 0.0136874  position[mm]: (329.545,137.865,-764.186)
  trackID: 1  chamberNb: 1  energy deposit[MeV]: 0.0160136  position[mm]: (337.494,141.09,-725.56)
