TITLE      NEUTRON FROM (D,N) REACTION ON 27AL,53CR,90,94ZR,
           122SN,181TA.
AUTHOR     (N.S.BIRYUKOV,B.V.ZHURAVLEV,A.P.RUDENKO,V.I.TRYKOVA)
INSTITUTE  (4CCPFEI)
REFERENCE  (J,YK,,(2),7,86)
FACILITY   (CYCLO,4CCPFEI)
METHOD     (TOF,BCINT,SITA)
PART-DET   (N)
ERR-ANALYS (DATA-ERR).TOTAL UNCERTAINTY.
           (EN-ERR).ANY ADDITIONAL INFORMATION IS ABSENT.
REACTION   (73-TA-181(D,X)0-NN-1,,DA/DE,,,EXP)
SAMPLE     TA-181(99.9 PERCENT).THICKNESS OF FOIL=19.86E-2G/CM**2
EN         EN-ERR
MEV        MEV
 2.2300E+01 3.0000E-01
EDATA                 4        385
E          ANG        DATA       DATA-ERR
MEV        ADEG       MB/SR/MEV  MB/SR/MEV
 4.2200E+00 1.2000E+02 1.5310E+01 6.5000E-01
 4.2200E+00 1.5000E+02 1.4440E+01 6.3000E-01
 4.4000E+00 3.0000E+01 2.7080E+01 1.1600E+00
 4.4000E+00 6.0000E+01 1.6700E+01 7.5000E-01
 4.4000E+00 9.0000E+01 1.3500E+01 5.7000E-01
 4.4000E+00 1.2000E+02 1.3550E+01 5.8000E-01
 4.4000E+00 1.5000E+02 1.2480E+01 6.2000E-01
 4.5900E+00 3.0000E+01 2.6460E+01 1.0700E+00
 4.5900E+00 6.0000E+01 1.5540E+01 6.5000E-01
 4.5900E+00 9.0000E+01 1.2030E+01 5.6000E-01
 4.5900E+00 1.2000E+02 1.1560E+01 5.5000E-01
 4.5900E+00 1.5000E+02 1.0820E+01 4.9000E-01
 4.7900E+00 3.0000E+01 2.5010E+01 1.0700E+00
 4.7900E+00 6.0000E+01 1.4280E+01 6.5000E-01
 4.7900E+00 9.0000E+01 1.0900E+01 4.7000E-01
 4.7900E+00 1.2000E+02 9.8200E+00 4.4000E-01
 4.7900E+00 1.5000E+02 9.3700E+00 5.0000E-01
 5.0100E+00 3.0000E+01 2.3250E+01 9.5000E-01
 5.0100E+00 6.0000E+01 1.2740E+01 5.4000E-01
 5.0100E+00 9.0000E+01 9.6500E+00 4.6000E-01
 5.0100E+00 1.2000E+02 8.1700E+00 4.2000E-01
 5.0100E+00 1.5000E+02 8.0300E+00 3.8000E-01
 5.2400E+00 3.0000E+01 2.1940E+01 9.4000E-01
 5.2400E+00 6.0000E+01 1.1350E+01 5.3000E-01
 5.2400E+00 9.0000E+01 8.6100E+00 4.2000E-01
 5.2400E+00 1.2000E+02 7.1200E+00 3.7000E-01
 5.2400E+00 1.5000E+02 7.1500E+00 4.0000E-01
 5.4400E+00 3.0000E+01 2.1560E+01 9.3000E-01
 5.4400E+00 6.0000E+01 1.0750E+01 5.1000E-01
 5.4400E+00 9.0000E+01 7.5300E+00 3.8000E-01
 5.4400E+00 1.2000E+02 6.5200E+00 3.5000E-01
 5.4400E+00 1.5000E+02 6.3200E+00 3.8000E-01
 5.6500E+00 3.0000E+01 2.0970E+01 9.0000E-01
 5.6500E+00 6.0000E+01 9.9300E+00 4.7000E-01
 5.6500E+00 9.0000E+01 6.8100E+00 3.5000E-01
 5.6500E+00 1.2000E+02 5.6000E+00 3.1000E-01
 5.6500E+00 1.5000E+02 5.1700E+00 3.2000E-01
 5.8100E+00 3.0000E+01 2.0910E+01 9.0000E-01
 5.8100E+00 6.0000E+01 9.6100E+00 4.6000E-01
 5.8100E+00 9.0000E+01 6.4700E+00 3.3000E-01
 5.8100E+00 1.2000E+02 4.8600E+00 2.8000E-01
 5.8100E+00 1.5000E+02 4.8000E+00 3.0000E-01
 5.9800E+00 3.0000E+01 2.0780E+01 9.0000E-01
 5.9800E+00 6.0000E+01 9.0800E+00 4.4000E-01
 5.9800E+00 9.0000E+01 5.9000E+00 3.1000E-01
 5.9800E+00 1.2000E+02 4.4500E+00 2.5000E-01
 5.9800E+00 1.5000E+02 4.3200E+00 2.8000E-01
 6.2200E+00 3.0000E+01 1.9950E+01 8.6000E-01
 6.2200E+00 6.0000E+01 8.8600E+00 4.3000E-01
 6.2200E+00 9.0000E+01 5.5600E+00 2.9000E-01
 6.2200E+00 1.2000E+02 4.1800E+00 2.5000E-01
 6.2200E+00 1.5000E+02 3.9400E+00 2.7000E-01
 6.4100E+00 3.0000E+01 1.9990E+01 8.6000E-01
