INSTITUTE  (1USALAS)
REFERENCE  (J,NSE,110,289,199203)
           (R,LA-11656,198908)
AUTHOR     (M.M.MEIER,W.B.AMIAN,C.A.GOULDING,G.L.MORGAN,C.E.MOSS)
TITLE      Differential Neutron Production Cross Sections for
            256-MeV Protons
FACILITY   (MESON) WNR at LAMPF.
METHOD     (TOF) Neutron energy determined by time-of-flight.
DETECTOR   (SCIN) Cylindrical plastic scintillators at 3 energy
            biases.  Efficiency calibrated relative to 7Li(p,n)7Be
            reaction.
           Proton beam monitored using secondary electron monitor.
ANALYSIS   Data averaged over bins widths. Neutron energy given
            midpoint of bin.  The resolution given is the bin
            width.
CORRECTION Corrected for
           . dead-time,
           . background,
           . beam attenuation,
           . detector efficiency and solid angle.
REACTION   (26-FE-0(P,X)0-NN-1,,DA/DE)
ERR-ANALYS (DATA-ERR) Uncertainties include statitical uncertainty
            and uncertainty in background and shadow-bar
            corrections.
MEV
256.
ENDCOMMON            3          0
DATA                 5        342
  7.5       1.0750E+02 1.0000E+01 4.7310E-04 1.5200E-05
  7.5       1.1500E+02 1.0000E+01 4.6860E-04 1.5600E-05
  7.5       1.2500E+02 1.0000E+01 4.5720E-04 1.5240E-05
  7.5       1.3500E+02 1.0000E+01 4.9930E-04 1.6020E-05
  7.5       1.4500E+02 1.0000E+01 5.1420E-04 1.6210E-05
  7.5       1.5500E+02 1.0000E+01 5.4050E-04 1.7040E-05
  7.5       1.6500E+02 1.0000E+01 6.0370E-04 1.8320E-05
  7.5       1.7500E+02 1.0000E+01 6.8240E-04 1.9990E-05
  7.5       1.8500E+02 1.0000E+01 8.9130E-04 2.4360E-05
  7.5       1.9500E+02 1.0000E+01 1.1710E-03 3.0430E-05
  7.5       2.1000E+02 2.0000E+01 1.7360E-03 3.9660E-05
  7.5       2.3000E+02 2.0000E+01 1.6010E-03 3.7130E-05
  7.5       2.5000E+02 2.0000E+01 1.9250E-04 7.1330E-06
  7.5       2.7000E+02 2.0000E+01 7.2800E-07 7.0890E-07
 30.        6.2500E-01 5.0000E-02 1.3720E-02 0.0
 30.        6.2500E-01 5.0000E-02 1.3720E-02 3.9930E-04
 30.        6.7500E-01 5.0000E-02 1.4010E-02 3.9690E-04
 30.        7.2500E-01 5.0000E-02 1.5670E-02 4.2160E-04
 30.        7.7500E-01 5.0000E-02 1.6580E-02 4.3630E-04
 30.        8.2500E-01 5.0000E-02 1.6720E-02 4.3610E-04
 30.        8.7500E-01 5.0000E-02 1.7600E-02 4.4950E-04
 30.        9.2500E-01 5.0000E-02 1.9620E-02 4.9450E-04
 30.        9.7500E-01 5.0000E-02 1.8130E-02 4.6380E-04
 30.        1.0750E+00 1.0000E-01 1.7370E-02 4.0320E-04
 30.        1.1500E+00 1.0000E-01 1.7950E-02 4.1020E-04
 30.        1.2500E+00 1.0000E-01 1.9050E-02 4.3090E-04
 30.        1.3500E+00 1.0000E-01 1.7340E-02 3.9670E-04
 30.        1.4500E+00 1.0000E-01 1.7610E-02 3.9980E-04
 30.        1.5500E+00 1.0000E-01 1.7830E-02 4.0460E-04
 30.        1.6500E+00 1.0000E-01 1.7570E-02 3.9830E-04
 30.        1.7500E+00 1.0000E-01 1.6870E-02 3.8340E-04
 30.        1.8500E+00 1.0000E-01 1.7410E-02 3.9490E-04
 30.        1.9500E+00 1.0000E-01 1.7410E-02 3.9560E-04
 30.        2.1000E+00 2.0000E-01 1.6320E-02 3.5400E-04
 30.        2.3000E+00 2.0000E-01 1.7620E-02 3.8260E-04
 30.        2.5000E+00 2.0000E-01 1.7930E-02 3.9020E-04
 30.        2.7000E+00 2.0000E-01 1.6170E-02 3.5280E-04
 30.        2.9000E+00 2.0000E-01 1.5600E-02 3.4250E-04
 30.        3.1000E+00 2.0000E-01 1.4140E-02 3.1260E-04
 30.        3.3000E+00 2.0000E-01 1.2440E-02 2.7710E-04
 30.        3.5000E+00 2.0000E-01 1.1280E-02 2.5260E-04
 30.        3.7000E+00 2.0000E-01 1.0860E-02 2.4430E-04
 30.        3.9000E+00 2.0000E-01 9.9260E-03 2.2440E-04
 30.        4.1000E+00 2.0000E-01 9.4440E-03 2.1550E-04
 30.        4.3000E+00 2.0000E-01 9.3540E-03 2.1430E-04
 30.        4.5000E+00 2.0000E-01 8.6460E-03 1.9930E-04
 30.        4.7000E+00 2.0000E-01 8.4370E-03 1.9510E-04
 30.        4.9000E+00 2.0000E-01 7.9940E-03 1.8620E-04
 30.        5.2500E+00 5.0000E-01 6.9670E-03 1.5190E-04
 30.        5.7500E+00 5.0000E-01 6.4840E-03 1.4260E-04
 30.        6.2500E+00 5.0000E-01 5.2870E-03 1.1770E-04
 30.        6.7500E+00 5.0000E-01 4.5970E-03 1.0360E-04
 30.        7.2500E+00 5.0000E-01 4.0670E-03 9.3210E-05
 30.        7.7500E+00 5.0000E-01 3.8430E-03 8.8470E-05
 30.        8.2500E+00 5.0000E-01 3.3950E-03 7.9140E-05
 30.        8.7500E+00 5.0000E-01 2.9810E-03 7.0750E-05
 30.        9.2500E+00 5.0000E-01 2.8380E-03 6.7560E-05
 30.        9.7500E+00 5.0000E-01 2.5570E-03 6.2260E-05
 30.        1.0750E+01 1.0000E+00 2.2130E-03 5.0390E-05
 30.        1.1500E+01 1.0000E+00 1.9950E-03 4.5990E-05
 30.        1.2500E+01 1.0000E+00 1.7580E-03 4.1230E-05
 30.        1.3500E+01 1.0000E+00 1.5900E-03 3.7880E-05
 30.        1.4500E+01 1.0000E+00 1.4530E-03 3.5240E-05
 30.        1.5500E+01 1.0000E+00 1.3680E-03 3.3510E-05
 30.        1.6500E+01 1.0000E+00 1.2960E-03 3.2050E-05
