Energy (keV)  x (mm)    y (mm)    z (mm)

   350.027     0.000   -16.963    27.520
   292.781     0.000   -23.553    -2.691
   363.827     0.000    11.863   -26.777
   271.803     0.000   -29.070     8.563
   430.076     0.000    16.300   -16.432
   310.581     0.000    26.055    10.980
   354.546     0.000    10.077     6.967
   439.404     0.000     8.090    14.062
    23.139     0.000   -18.247    22.987
   255.990     0.000   -22.044    -9.484
