Sensitive Detector-Voxels. Total number of events, [mm]->centreX centreY centreZ HalfSizeX HalfSizeY HalfSizeZ minX maxX, minY maxY, minZ maxZ, Dx, Dy, Dz, nX, nY, nZ: 
2227	0	0	0	150	150	150	-150	150	-150	150	-150	150	1.5	1.5	1.5	100	100	100
Number of physical volumes: 2
G4_WATER	1
G4_Galactic	2
Phys Volume x [mm], y [mm], z [mm], ix, iy, iz, Dose [Gy], Dose2 [Gy^2], nEvents
1	-148.5	-73.5	-130.5	0	25	6	4.61154e-10	2.12503e-19	2
1	-142.5	-25.5	94.5	2	41	81	1.4444e-10	2.08629e-20	1
1	-136.5	-85.5	-115.5	4	21	11	1.25042e-10	1.56356e-20	1
1	-136.5	-82.5	-127.5	4	22	7	1.03165e-10	1.06263e-20	2
1	-136.5	-16.5	-133.5	4	44	5	1.44554e-09	5.24522e-19	5
1	-136.5	-10.5	-136.5	4	46	4	2.50654e-10	6.28277e-20	1
1	-133.5	-16.5	-4.5	5	44	48	2.01016e-10	4.03735e-20	2
1	-133.5	-7.5	-127.5	5	47	7	3.88163e-10	1.50671e-19	1
1	-133.5	100.5	-64.5	5	83	28	4.68865e-10	2.19835e-19	1
1	-130.5	-106.5	-52.5	6	14	32	1.74938e-11	3.06032e-22	1
1	-127.5	-124.5	16.5	7	8	55	2.91062e-10	8.47174e-20	1
1	-124.5	-124.5	16.5	8	8	55	1.15736e-09	4.47957e-19	3
1	-124.5	-13.5	-127.5	8	45	7	2.57805e-11	6.60309e-22	2
1	-124.5	4.5	88.5	8	51	79	2.00904e-12	4.03622e-24	1
1	-121.5	73.5	121.5	9	74	90	1.7221e-11	2.96564e-22	1
1	-121.5	127.5	127.5	9	92	92	3.52845e-10	1.24499e-19	1
1	-118.5	-145.5	70.5	10	1	73	2.04138e-10	4.16725e-20	1
1	-118.5	-28.5	-7.5	10	40	47	1.04521e-10	1.02786e-20	2
1	-118.5	1.5	-133.5	10	50	5	1.67612e-09	2.79872e-18	2
1	-118.5	1.5	-130.5	10	50	6	3.80069e-09	5.20705e-18	3
1	-118.5	1.5	-127.5	10	50	7	4.24491e-09	2.77377e-18	7
1	-118.5	109.5	7.5	10	86	52	2.28328e-10	5.21338e-20	1
1	-118.5	112.5	-70.5	10	87	26	4.11068e-10	1.68908e-19	2
1	-118.5	112.5	10.5	10	87	53	8.65829e-10	2.8172e-19	3
1	-115.5	1.5	-148.5	11	50	0	8.42033e-14	7.09019e-27	1
1	-112.5	73.5	64.5	12	74	71	1.06771e-09	1.14001e-18	1
1	-112.5	76.5	64.5	12	75	71	9.17574e-10	8.41943e-19	1
1	-109.5	52.5	19.5	13	67	56	1.41844e-10	2.01198e-20	1
1	-109.5	76.5	64.5	13	75	71	2.94489e-09	2.7977e-18	5
1	-109.5	76.5	67.5	13	75	72	3.51466e-09	2.23016e-18	7
1	-106.5	-70.5	28.5	14	26	59	5.64568e-10	1.67854e-19	3
1	-106.5	-31.5	-7.5	14	39	47	2.24591e-11	3.81532e-22	2
1	-106.5	148.5	-22.5	14	99	42	8.07616e-14	6.52243e-27	1
1	-103.5	115.5	-85.5	15	88	21	1.33297e-09	5.97967e-19	4
1	-103.5	118.5	-85.5	15	89	21	2.60522e-09	2.33536e-18	3
1	-100.5	-85.5	-7.5	16	21	47	4.21154e-10	1.773e-19	2
1	-100.5	115.5	-85.5	16	88	21	2.47146e-09	1.03749e-18	6
1	-94.5	-58.5	-7.5	18	30	47	3.43082e-12	1.17705e-23	1
1	-94.5	40.5	115.5	18	63	88	1.34144e-09	1.79947e-18	1
1	-94.5	40.5	118.5	18	63	89	2.51444e-09	2.29333e-18	3
1	-94.5	40.5	121.5	18	63	90	2.12918e-09	9.17105e-19	5
1	-94.5	43.5	118.5	18	64	89	1.61619e-09	8.56635e-19	5
1	-91.5	-55.5	22.5	19	31	57	4.07715e-10	1.66231e-19	1
1	-91.5	61.5	-49.5	19	70	33	1.91737e-09	7.9763e-19	6
1	-88.5	-22.5	-73.5	20	42	25	3.381e-09	1.7195e-18	7
1	-88.5	76.5	94.5	20	75	81	1.03145e-09	3.55794e-19	4
1	-88.5	79.5	100.5	20	76	83	1.31163e-09	6.32163e-19	3
1	-88.5	103.5	-115.5	20	84	11	6.56907e-10	4.31527e-19	1
1	-88.5	106.5	-115.5	20	85	11	7.97899e-10	6.36643e-19	1
1	-88.5	106.5	-112.5	20	85	12	2.81839e-09	1.53177e-18	6
1	-88.5	118.5	88.5	20	89	79	7.33832e-11	5.3851e-21	1
1	-85.5	-4.5	19.5	21	48	56	2.72711e-10	7.42769e-20	2
1	-85.5	67.5	49.5	21	72	66	3.38919e-11	9.52879e-22	2
1	-85.5	79.5	97.5	21	76	82	6.96313e-09	6.50215e-18	8
1	-85.5	79.5	100.5	21	76	83	3.89664e-09	2.80819e-18	10
1	-85.5	109.5	91.5	21	86	80	4.19282e-09	2.61638e-18	7
1	-85.5	112.5	91.5	21	87	80	3.85453e-09	5.24223e-18	3
1	-85.5	115.5	91.5	21	88	80	2.65512e-09	7.04919e-18	2
1	-82.5	-109.5	22.5	22	13	57	6.63212e-11	4.37556e-21	2
1	-82.5	-22.5	64.5	22	42	71	1.39786e-10	1.95166e-20	2
1	-82.5	46.5	19.5	22	65	56	1.49253e-11	2.20266e-22	2
1	-82.5	55.5	40.5	22	68	63	5.66106e-11	3.19524e-21	2
1	-82.5	82.5	49.5	22	77	66	5.44645e-10	2.40703e-19	3
1	-82.5	91.5	139.5	22	80	96	4.94714e-10	1.647e-19	3
