REFERENCE  (J,NSE,110,289,199203)
AUTHOR     (W.B.AMIAN,R.C.BYRD,D.A.CLARK,C.A.GOULDING,M.M.MEIER,
           G.L.MORGAN,C.E.MOSS)
TITLE      Differential Neutron Production Cross Sections for
            597-MeV Protons
FACILITY   (MESON) WNR at LAMPF.
METHOD     (TOF) Neutron energy determined by time-of-flight.
DETECTOR   (SCIN) Cylindrical plastic scintillators at 3 energy
            biases.  Efficiency calibrated relative to 7Li(p,n)7Be
            reaction.
           Proton beam monitored using secondary electron monitor.
ANALYSIS   Data averaged over bins widths. Neutron energy given
            midpoint of bin.  The resolution given is the bin
            width.
CORRECTION Corrected for
           . dead-time,
           . background,
           . beam attenuation,
           . detector efficiency and solid angle.
ERR-ANALYS (DATA-ERR) Uncertainties include statitical uncertainty
            and uncertainty in background and shadow-bar
            corrections.
STATUS     Data received by email, R. Byrd, 10 September 1998.
           (APRVD) Approved by M. Meier, 21 May 1999.
HISTORY    (19980911C)
           (19990521A) Data units corrected.
 30.        4.9000E+01 2.0000E+00 3.4680E-03 1.1430E-04
 30.        5.2500E+01 5.0000E+00 3.3840E-03 7.3120E-05
 30.        5.7500E+01 5.0000E+00 3.0850E-03 7.1880E-05
 30.        6.2500E+01 5.0000E+00 3.0310E-03 7.2580E-05
 30.        6.7500E+01 5.0000E+00 2.7100E-03 7.0730E-05
 30.        7.2500E+01 5.0000E+00 2.6820E-03 7.0570E-05
 30.        7.7500E+01 5.0000E+00 2.5810E-03 7.0380E-05
 30.        8.2500E+01 5.0000E+00 2.3880E-03 6.9340E-05
 30.        8.7500E+01 5.0000E+00 2.1550E-03 6.7310E-05
 30.        9.2500E+01 5.0000E+00 2.1090E-03 6.7540E-05
 30.        9.7500E+01 5.0000E+00 1.9680E-03 6.3390E-05
 30.        1.0750E+02 1.0000E+01 1.7370E-03 4.2990E-05
 30.        1.1500E+02 1.0000E+01 1.5430E-03 4.0180E-05
 30.        1.2500E+02 1.0000E+01 1.4020E-03 3.8270E-05
 30.        1.3500E+02 1.0000E+01 1.2880E-03 3.6900E-05
 30.        1.4500E+02 1.0000E+01 1.2430E-03 3.6060E-05
 30.        1.5500E+02 1.0000E+01 1.1270E-03 3.4940E-05
 30.        1.6500E+02 1.0000E+01 1.0700E-03 3.3150E-05
 30.        1.7500E+02 1.0000E+01 9.6380E-04 3.2270E-05
 30.        1.8500E+02 1.0000E+01 8.8710E-04 3.0520E-05
 30.        1.9500E+02 1.0000E+01 8.5180E-04 2.9920E-05
 30.        2.1000E+02 2.0000E+01 7.7390E-04 2.1140E-05
 30.        2.3000E+02 2.0000E+01 6.7620E-04 1.9640E-05
 30.        2.5000E+02 2.0000E+01 6.2580E-04 1.8760E-05
 30.        2.7000E+02 2.0000E+01 5.4000E-04 1.7680E-05
 30.        2.9000E+02 2.0000E+01 4.8620E-04 1.6580E-05
 30.        3.1000E+02 2.0000E+01 4.5310E-04 1.6080E-05
 30.        3.3000E+02 2.0000E+01 4.3080E-04 1.5560E-05
 30.        3.5000E+02 2.0000E+01 4.1210E-04 1.5070E-05
 30.        3.7000E+02 2.0000E+01 4.0360E-04 1.4810E-05
 30.        3.9000E+02 2.0000E+01 3.9290E-04 1.4220E-05
 30.        4.1000E+02 2.0000E+01 3.7990E-04 1.4040E-05
 30.        4.3000E+02 2.0000E+01 3.3960E-04 1.3460E-05
 30.        4.5000E+02 2.0000E+01 2.7430E-04 1.1930E-05
 30.        4.7000E+02 2.0000E+01 2.1260E-04 1.0360E-05
 30.        4.9000E+02 2.0000E+01 1.5660E-04 8.8790E-06
 30.        5.2500E+02 2.0000E+01 7.5690E-05 3.9100E-06
 30.        5.7500E+02 2.0000E+01 1.4590E-05 1.7130E-06
 60.        5.2500E-01 5.0000E-01 2.5950E-01 0.0
 60.        5.2500E-01 5.0000E-01 2.5950E-01 8.5660E-03
 60.        5.7500E-01 5.0000E-01 2.8960E-01 7.6350E-03
 60.        6.2500E-01 5.0000E-01 3.1660E-01 7.0840E-03
 60.        6.7500E-01 5.0000E-01 2.8680E-01 6.4660E-03
 60.        7.2500E-01 5.0000E-01 3.2080E-01 6.4230E-03
 60.        7.7500E-01 5.0000E-01 3.4030E-01 6.3500E-03
 60.        8.2500E-01 5.0000E-01 3.5860E-01 6.2890E-03
 60.        8.7500E-01 5.0000E-01 3.6270E-01 6.2050E-03
 60.        9.2500E-01 5.0000E-01 4.3210E-01 7.2110E-03
 60.        9.7500E-01 5.0000E-01 3.7990E-01 6.7770E-03
 60.        1.0750E+00 1.0000E-01 3.3730E-01 4.3530E-03
 60.        1.1500E+00 1.0000E-01 3.3550E-01 3.9250E-03
 60.        1.2500E+00 1.0000E-01 3.4080E-01 3.8670E-03
 60.        1.3500E+00 1.0000E-01 2.9790E-01 3.6890E-03
 60.        1.4500E+00 1.0000E-01 3.0390E-01 3.5460E-03
 60.        1.5500E+00 1.0000E-01 2.9940E-01 3.5340E-03
 60.        1.6500E+00 1.0000E-01 3.0510E-01 3.5210E-03
 60.        1.7500E+00 1.0000E-01 2.7210E-01 3.3160E-03
 60.        1.8500E+00 1.0000E-01 2.9370E-01 3.4830E-03
 60.        1.9500E+00 1.0000E-01 3.0600E-01 3.6010E-03
 60.        2.1000E+00 2.0000E-01 2.6720E-01 2.2570E-03
 60.        2.3000E+00 2.0000E-01 3.0940E-01 2.7080E-03
 60.        2.5000E+00 2.0000E-01 3.3490E-01 3.0570E-03
 60.        2.7000E+00 2.0000E-01 2.8290E-01 2.6920E-03
 60.        2.9000E+00 2.0000E-01 2.7850E-01 2.8570E-03
 60.        3.1000E+00 2.0000E-01 2.4080E-01 2.6400E-03
 60.        3.3000E+00 2.0000E-01 1.9340E-01 2.3070E-03
 60.        3.5000E+00 2.0000E-01 1.6700E-01 2.1080E-03
 60.        3.7000E+00 2.0000E-01 1.5870E-01 2.0800E-03
 60.        3.9000E+00 2.0000E-01 1.3510E-01 1.8590E-03
 60.        4.1000E+00 2.0000E-01 1.3570E-01 1.9410E-03
 60.        4.3000E+00 2.0000E-01 1.3400E-01 1.9780E-03
 60.        4.5000E+00 2.0000E-01 1.2250E-01 1.8140E-03
 60.        4.7000E+00 2.0000E-01 1.2440E-01 1.8320E-03
 60.        4.9000E+00 2.0000E-01 1.1750E-01 1.7710E-03
 60.        5.2500E+00 5.0000E-01 9.2180E-02 9.7250E-04
 60.        5.7500E+00 5.0000E-01 8.7390E-02 1.0000E-03
 60.        6.2500E+00 5.0000E-01 6.6430E-02 8.1890E-04
 60.        6.7500E+00 5.0000E-01 5.5400E-02 7.4270E-04
 60.        7.2500E+00 5.0000E-01 4.6400E-02 6.9340E-04
 60.        7.7500E+00 5.0000E-01 4.1140E-02 6.4640E-04
 60.        8.2500E+00 5.0000E-01 3.6700E-02 6.0870E-04
 60.        8.7500E+00 5.0000E-01 3.0590E-02 5.5660E-04
 60.        9.2500E+00 5.0000E-01 2.7990E-02 5.2360E-04
 60.        9.7500E+00 5.0000E-01 2.6360E-02 5.3040E-04
 60.        1.0750E+01 1.0000E+00 2.1230E-02 3.3190E-04
 60.        1.1500E+01 1.0000E+00 1.6560E-02 3.0080E-04
 60.        1.2500E+01 1.0000E+00 1.4220E-02 2.7970E-04
 60.        1.3500E+01 1.0000E+00 1.2240E-02 2.6610E-04
 60.        1.4500E+01 1.0000E+00 1.0410E-02 2.5270E-04
 60.        1.5500E+01 1.0000E+00 9.6390E-03 2.4640E-04
 60.        1.6500E+01 1.0000E+00 9.0220E-03 2.4110E-04
 60.        1.7500E+01 1.0000E+00 8.0770E-03 2.3360E-04
 60.        1.8500E+01 1.0000E+00 7.7810E-03 2.3380E-04
 60.        1.9500E+01 1.0000E+00 7.1400E-03 2.2620E-04
 60.        2.1000E+01 2.0000E+00 5.9140E-03 1.4480E-04
 60.        2.3000E+01 2.0000E+00 5.1030E-03 1.3400E-04
 60.        2.5000E+01 2.0000E+00 4.9840E-03 1.3320E-04
 60.        2.7000E+01 2.0000E+00 3.9430E-03 1.2050E-04
 60.        2.9000E+01 2.0000E+00 4.2570E-03 1.2750E-04
 60.        3.1000E+01 2.0000E+00 3.8810E-03 1.2270E-04
 60.        3.3000E+01 2.0000E+00 3.7760E-03 1.2190E-04
 60.        3.5000E+01 2.0000E+00 4.2930E-03 1.7870E-04
 60.        3.7000E+01 2.0000E+00 3.7080E-03 1.6540E-04
 60.        3.9000E+01 2.0000E+00 3.5550E-03 1.6080E-04
 60.        4.1000E+01 2.0000E+00 3.5920E-03 1.6130E-04
 60.        4.3000E+01 2.0000E+00 3.2390E-03 1.5260E-04
 60.        4.5000E+01 2.0000E+00 3.2130E-03 1.5380E-04
 60.        4.7000E+01 2.0000E+00 3.0620E-03 1.4910E-04
 60.        4.9000E+01 2.0000E+00 3.0520E-03 1.4890E-04
 60.        5.2500E+01 5.0000E+00 2.8840E-03 9.2060E-05
 60.        5.7500E+01 5.0000E+00 2.5420E-03 8.7670E-05
 60.        6.2500E+01 5.0000E+00 2.3330E-03 8.5450E-05
 60.        6.7500E+01 5.0000E+00 2.1760E-03 8.2660E-05
 60.        7.2500E+01 5.0000E+00 2.0350E-03 8.0950E-05
 60.        7.7500E+01 5.0000E+00 1.7140E-03 7.5630E-05
 60.        8.2500E+01 5.0000E+00 1.6880E-03 7.5120E-05
 60.        8.7500E+01 5.0000E+00 1.6680E-03 7.4780E-05
 60.        9.2500E+01 5.0000E+00 1.4520E-03 7.0920E-05
 60.        9.7500E+01 5.0000E+00 1.3340E-03 6.7680E-05
 60.        1.0750E+02 1.0000E+01 1.2020E-03 4.5580E-05
 60.        1.1500E+02 1.0000E+01 1.0540E-03 4.3130E-05
 60.        1.2500E+02 1.0000E+01 9.7860E-04 4.1230E-05
 60.        1.3500E+02 1.0000E+01 9.1670E-04 3.9980E-05
 60.        1.4500E+02 1.0000E+01 8.2430E-04 3.8020E-05
 60.        1.5500E+02 1.0000E+01 7.3130E-04 3.6350E-05
 60.        1.6500E+02 1.0000E+01 5.6820E-04 3.3170E-05
 60.        1.7500E+02 1.0000E+01 4.9960E-04 3.0780E-05
 60.        1.8500E+02 1.0000E+01 4.6560E-04 2.9310E-05
 60.        1.9500E+02 1.0000E+01 4.5870E-04 2.9630E-05
 60.        2.1000E+02 2.0000E+01 3.4990E-04 1.8540E-05
 60.        2.3000E+02 2.0000E+01 2.4980E-04 1.5900E-05
 60.        2.5000E+02 2.0000E+01 2.1070E-04 1.4670E-05
 60.        2.7000E+02 2.0000E+01 1.2910E-04 1.1620E-05
 60.        2.9000E+02 2.0000E+01 1.2020E-04 1.1320E-05
 60.        3.1000E+02 2.0000E+01 8.2200E-05 9.4090E-06
 60.        3.3000E+02 2.0000E+01 5.8040E-05 7.9710E-06
 60.        3.5000E+02 2.0000E+01 4.0850E-05 6.6230E-06
 60.        3.7000E+02 2.0000E+01 2.3760E-05 5.1660E-06
 60.        3.9000E+02 2.0000E+01 1.2790E-05 4.5960E-06
 60.        4.1000E+02 2.0000E+01 6.2480E-06 3.4420E-06
 60.        4.3000E+02 2.0000E+01 4.8210E-06 3.1870E-06
 60.        4.5000E+02 2.0000E+01 3.2540E-06 3.7790E-06
 60.        4.7000E+02 2.0000E+01 2.0940E-06 3.1130E-06
120.        5.2500E-01 5.0000E-01 1.9680E-01 0.0
120.        5.2500E-01 5.0000E-01 1.9680E-01 2.7450E-03
120.        5.7500E-01 5.0000E-01 2.2000E-01 2.6550E-03
120.        6.2500E-01 5.0000E-01 2.3800E-01 2.6630E-03
120.        6.7500E-01 5.0000E-01 2.3850E-01 2.5430E-03
120.        7.2500E-01 5.0000E-01 2.5300E-01 2.5510E-03
120.        7.7500E-01 5.0000E-01 2.6770E-01 2.5930E-03
120.        8.2500E-01 5.0000E-01 2.7430E-01 2.5840E-03
120.        8.7500E-01 5.0000E-01 2.7710E-01 2.5690E-03
120.        9.2500E-01 5.0000E-01 3.0640E-01 2.7640E-03
120.        9.7500E-01 5.0000E-01 2.8880E-01 2.6750E-03
120.        1.0750E+00 1.0000E-01 2.7350E-01 1.8030E-03
120.        1.1500E+00 1.0000E-01 2.7480E-01 1.7460E-03
120.        1.2500E+00 1.0000E-01 2.8210E-01 1.7500E-03
120.        1.3500E+00 1.0000E-01 2.6330E-01 1.7030E-03
120.        1.4500E+00 1.0000E-01 2.6520E-01 1.6860E-03
120.        1.5500E+00 1.0000E-01 2.6180E-01 1.6810E-03
120.        1.6500E+00 1.0000E-01 2.5460E-01 1.6590E-03
120.        1.7500E+00 1.0000E-01 2.4930E-01 1.6410E-03
120.        1.8500E+00 1.0000E-01 2.4650E-01 1.6470E-03
120.        1.9500E+00 1.0000E-01 2.5010E-01 1.6760E-03
120.        2.1000E+00 2.0000E-01 2.3050E-01 1.1200E-03
120.        2.3000E+00 2.0000E-01 2.3580E-01 1.1910E-03
120.        2.5000E+00 2.0000E-01 2.3160E-01 1.2280E-03
120.        2.7000E+00 2.0000E-01 2.0900E-01 1.1530E-03
120.        2.9000E+00 2.0000E-01 1.9370E-01 1.1460E-03
120.        3.1000E+00 2.0000E-01 1.8010E-01 1.1080E-03
120.        3.3000E+00 2.0000E-01 1.5640E-01 1.0270E-03
120.        3.5000E+00 2.0000E-01 1.4010E-01 9.6940E-04
120.        3.7000E+00 2.0000E-01 1.3160E-01 9.5010E-04
120.        3.9000E+00 2.0000E-01 1.2030E-01 8.9980E-04
120.        4.1000E+00 2.0000E-01 1.1490E-01 8.9640E-04
120.        4.3000E+00 2.0000E-01 1.0740E-01 8.7900E-04
120.        4.5000E+00 2.0000E-01 9.9710E-02 8.3520E-04
120.        4.7000E+00 2.0000E-01 9.7740E-02 8.3160E-04
120.        4.9000E+00 2.0000E-01 9.1510E-02 8.0490E-04
120.        5.2500E+00 5.0000E-01 7.5900E-02 4.6090E-04
120.        5.7500E+00 5.0000E-01 6.9600E-02 4.5240E-04
120.        6.2500E+00 5.0000E-01 5.5740E-02 3.9340E-04
120.        6.7500E+00 5.0000E-01 4.5370E-02 3.5440E-04
120.        7.2500E+00 5.0000E-01 3.8620E-02 3.2770E-04
120.        7.7500E+00 5.0000E-01 3.4620E-02 3.0750E-04
120.        8.2500E+00 5.0000E-01 2.9150E-02 2.8020E-04
120.        8.7500E+00 5.0000E-01 2.4780E-02 2.5690E-04
120.        9.2500E+00 5.0000E-01 2.2940E-02 2.4490E-04
120.        9.7500E+00 5.0000E-01 1.9770E-02 2.3050E-04
120.        1.0750E+01 1.0000E+00 1.6000E-02 1.4590E-04
120.        1.1500E+01 1.0000E+00 1.3110E-02 1.3320E-04
120.        1.2500E+01 1.0000E+00 1.0550E-02 1.2030E-04
120.        1.3500E+01 1.0000E+00 8.8210E-03 1.1170E-04
120.        1.4500E+01 1.0000E+00 7.6220E-03 1.0540E-04
120.        1.5500E+01 1.0000E+00 6.5000E-03 9.8560E-05
120.        1.6500E+01 1.0000E+00 5.8660E-03 9.4760E-05
120.        1.7500E+01 1.0000E+00 5.2350E-03 9.0960E-05
120.        1.8500E+01 1.0000E+00 4.7380E-03 8.7700E-05
120.        1.9500E+01 1.0000E+00 4.1170E-03 8.2910E-05
120.        2.1000E+01 2.0000E+00 3.6360E-03 5.5190E-05
120.        2.3000E+01 2.0000E+00 3.0180E-03 5.0690E-05
120.        2.5000E+01 2.0000E+00 2.4830E-03 4.6490E-05
120.        2.7000E+01 2.0000E+00 2.2690E-03 4.4860E-05
120.        2.9000E+01 2.0000E+00 2.0760E-03 4.3620E-05
120.        3.1000E+01 2.0000E+00 1.8450E-03 4.1670E-05
120.        3.3000E+01 2.0000E+00 1.5960E-03 3.9230E-05
120.        3.5000E+01 2.0000E+00 1.4760E-03 5.2950E-05
120.        3.7000E+01 2.0000E+00 1.4540E-03 5.2360E-05
120.        3.9000E+01 2.0000E+00 1.4370E-03 5.1900E-05
120.        4.1000E+01 2.0000E+00 1.2060E-03 4.7460E-05
120.        4.3000E+01 2.0000E+00 1.1040E-03 4.5100E-05
