  64.9        11        1050         84
  83.7        11        1070         86
 107          11        1050         84
 152          11         960         77
 203          11         940         75
 263          11         950         76
 334          11         870         70
 400          11         900         72
 474          11         930         74
 527          11         800         64
 593          11         610         49
 629          11         590         47
 657          11         630         50
 714          11        1700        136
 760          11        4300        344
