  63.2        11         100          8
  81.7        11         107          9
 102          11         130         10
 149          11         150         12
 203          11         180         14
 260          11         200         16
 324          11         230         18
 393          11         240         19
 466          11         270         22
 519          11         230         18
 585          11         150         12
 613          11         130         10
 645          11         160         13
 677          11         310         25
 706          11         650         52
 760          11        1700        136
 780          11         950         76
