  63.2        20        1060         85
  89.7        20         970         78
 137          20         900         72
 186          20         730         58
 244          20         650         52
 308          20         600         48
 376          20         540         43
 448          20         520         42
 500          20         410         33
 585          20         530         42
 617          20         760         61
 677          20        1300        104
 730          20         900         72
 768          20         500         40
