  64.9         5         850         68
  83.7         5         950         76
 116           5         940         75
 165           5         950         76
 223           5         900         72
 285           5         960         77
 351           5        1000         80
 422           5        1100         88
 500           5        1300        104
 577           5        1200         96
 641           5         800         64
 689           5         610         49
 739           5        2500        200
