  63.2        20         100          8
  89.7        20         114          9
 134          20         127         10
 186          20         140         11
 244          20         145         12
 304          20         150         12
 376          20         145         12
 448          20         135         11
 492          20         120         10
 523          20         130         10
 554          20         170         14
 605          20         310         25
 673          20         440         35
 706          20         330         26
 747          20         130         10
 764          20          75          6
