  63.2        11         340         27
  81.7        11         340         27
 102          11         390         31
 152          11         400         32
 203          11         420         34
 263          11         440         35
 331          11         450         36
 400          11         470         38
 474          11         490         39
 523          11         420         34
 585          11         310         25
 617          11         270         22
 649          11         280         22
 669          11         420         34
 702          11        1020         82
 730          11        2100        168
 755          11        2700        216
