  63.2         5         260         21
  81.7         5         300         24
 116           5         360         29
 165           5         390         31
 223           5         420         34
 285           5         490         39
 352           5         500         40
 418           5         570         46
 492           5         700         56
 569           5         630         50
 633           5         350         28
 681           5         300         24
 735           5         840         67
