  61.4        30          75          6
  72.2        30          88          7
 125          30         110          9
 203          30         110          9
 295          30         100          8
 379          30         100          8
 433          30         120         10
 477          30         130         10
 546          30         150         12
 585          30         120         10
 625          30          90          7
 665          30          53          4
 730          30          14          1
