  63.2        15         800         64
 107          15         950         76
 175          15         920         74
 269          15         830         66
 331          15         790         63
 393          15         780         62
 477          15         790         63
 527          15         600         48
 593          15         530         42
 637          15         880         70
 702          15        2300        184
 726          15        3000        240
 780          15        2000        160
