54.26 			71.466			0.51
57.714			64.572			0.45
60.478 			59.044			0.39
62.668                  54.664			0.33
64.814                  50.372			0.27
66.706 			46.588			0.21
68.648 			42.704			0.15
70.472			39.056			0.09
72.288			35.424			0.03
74.061 			31.878			-0.03
75.793			28.414			-0.09
77.579			24.842			-0.15
79.273			21.454			-0.21
81.014			17.972			-0.27
82.695			14.61			-0.33
84.425			11.15			-0.39
86.203			7.594			-0.45
87.910			4.18			-0.51
54.26			71.466			0.51
57.714			64.576			0.45
60.478 			59.044			0.39
62.668                  54.664			0.33
64.814                  50.372			0.27
66.706 			46.588			0.21
68.648 			42.704			0.15
70.472			39.056			0.09
72.288			35.424			0.03
74.061 			31.878			-0.03
75.793			28.414			-0.09
77.579			24.842			-0.15
79.273			21.454			-0.21
81.014			17.972			-0.27
82.695			14.61			-0.33
84.425			11.15			-0.39	
86.203			7.594			-0.45
87.910			4.18			-0.51
54.26			71.466			0.51
57.714			64.576			0.45
60.478 			59.044			0.39
62.668                  54.664			0.33
64.814                  50.372			0.27
66.706 			46.588			0.21
68.648 			42.704			0.15
70.472			39.056			0.09
72.288			35.424			0.03
74.061 			31.878			-0.03
75.793			28.414			-0.09
77.579			24.842			-0.15
79.273			21.454			-0.21
81.014			17.972			-0.27
82.695			14.61			-0.33
84.425			11.15			-0.39	
86.203			7.594			-0.45
87.910			4.18			-0.51
54.26			71.466			0.51
57.714			64.576			0.45
60.478 			59.044			0.39
62.668                  54.664			0.33
64.814                  50.372			0.27
66.706 			46.588			0.21
68.648 			42.704			0.15
70.472			39.056			0.09
72.288			35.424			0.03
74.061 			31.878			-0.03
75.793			28.414			-0.09
77.579			24.842			-0.15
79.273			21.454			-0.21
81.014			17.972			-0.27
82.695			14.61			-0.33
84.425			11.15			-0.39	
86.203			7.594			-0.45
87.910			4.18			-0.51
-1			-1			-1
