TITLE      NEUTRON FROM (D,N) REACTION ON 27AL,53CR,90,94ZR,
           122SN,181TA.
AUTHOR     (N.S.BIRYUKOV,B.V.ZHURAVLEV,A.P.RUDENKO,V.I.TRYKOVA)
INSTITUTE  (4CCPFEI)
REFERENCE  (J,YK,,(2),7,86)
FACILITY   (CYCLO,4CCPFEI)
METHOD     (TOF,BCINT,SITA)
PART-DET   (N)
ERR-ANALYS (DATA-ERR).TOTAL UNCERTAINTY.
           (EN-ERR).ANY ADDITIONAL INFORMATION IS ABSENT.
REACTION   (13-AL-27(D,X)0-NN-1,,DA/DE,,,EXP)
SAMPLE     AL-27(99.9 PERCENT).THICKNESS OF FOIL=2.79E-3G/CM**2
MEV        MEV
 2.2300E+01 3.0000E-01
DATA                 4        387
E          ANG        DATA       DATA-ERR
MEV        ADEG       MB/SR/MEV  MB/SR/MEV
 4.2200E+00 1.2000E+02 7.0000E+00 3.3000E-01
 4.2200E+00 1.5000E+02 7.9000E+00 4.0000E-01
 4.4000E+00 3.0000E+01 8.6500E+00 3.7000E-01
 4.4000E+00 6.0000E+01 7.2500E+00 3.2000E-01
 4.4000E+00 9.0000E+01 6.4000E+00 2.9000E-01
 4.4000E+00 1.2000E+02 6.6500E+00 3.1000E-01
 4.4000E+00 1.5000E+02 7.7000E+00 3.9000E-01
 4.5900E+00 3.0000E+01 8.3000E+00 4.0000E-01
 4.5900E+00 6.0000E+01 7.0000E+00 3.3000E-01
 4.5900E+00 9.0000E+01 6.1000E+00 3.1000E-01
 4.5900E+00 1.2000E+02 6.3000E+00 3.3000E-01
 4.5900E+00 1.5000E+02 7.2000E+00 4.3000E-01
 4.7900E+00 3.0000E+01 8.2000E+00 3.5000E-01
 4.7900E+00 6.0000E+01 6.7500E+00 2.9000E-01
 4.7900E+00 9.0000E+01 5.7000E+00 2.6000E-01
 4.7900E+00 1.2000E+02 6.1000E+00 2.8000E-01
 4.7900E+00 1.5000E+02 6.1000E+00 3.0000E-01
 5.0100E+00 3.0000E+01 6.5000E+00 3.5000E-01
 5.0100E+00 6.0000E+01 6.3000E+00 3.0000E-01
 5.0100E+00 9.0000E+01 5.5000E+00 2.8000E-01
 5.0100E+00 1.2000E+02 5.8000E+00 3.1000E-01
 5.0100E+00 1.5000E+02 6.5000E+00 3.9000E-01
 5.2400E+00 3.0000E+01 7.5000E+00 3.2000E-01
 5.2400E+00 6.0000E+01 5.7500E+00 2.5000E-01
 5.2400E+00 9.0000E+01 5.3000E+00 2.4000E-01
 5.2400E+00 1.2000E+02 5.7000E+00 2.7000E-01
 5.2400E+00 1.5000E+02 6.4000E+00 3.3000E-01
 5.4400E+00 3.0000E+01 7.4500E+00 3.5000E-01
 5.4400E+00 6.0000E+01 5.7500E+00 2.7000E-01
 5.4400E+00 9.0000E+01 4.9000E+00 2.5000E-01
 5.4400E+00 1.2000E+02 5.2500E+00 2.8000E-01
 5.4400E+00 1.5000E+02 6.2000E+00 3.7000E-01
 5.6400E+00 3.0000E+01 7.5000E+00 3.4000E-01
 5.6400E+00 6.0000E+01 5.3500E+00 2.6000E-01
 5.6400E+00 9.0000E+01 4.7000E+00 2.4000E-01
 5.6400E+00 1.2000E+02 4.9000E+00 2.7000E-01
 5.6400E+00 1.5000E+02 6.0000E+00 3.6000E-01
 5.8100E+00 3.0000E+01 7.4000E+00 3.4000E-01
 5.8100E+00 6.0000E+01 5.1500E+00 2.5000E-01
 5.8100E+00 9.0000E+01 4.6000E+00 2.3000E-01
 5.8100E+00 1.2000E+02 4.8000E+00 2.6000E-01
 5.8100E+00 1.5000E+02 5.8000E+00 3.5000E-01
 5.9800E+00 3.0000E+01 7.3000E+00 3.4000E-01
 5.9800E+00 6.0000E+01 4.8000E+00 2.3000E-01
 5.9800E+00 9.0000E+01 4.3000E+00 2.2000E-01
 5.9800E+00 1.2000E+02 4.7000E+00 2.6000E-01
 5.9800E+00 1.5000E+02 5.4000E+00 3.3000E-01
 6.2200E+00 3.0000E+01 6.7000E+00 3.1000E-01
 6.2200E+00 6.0000E+01 4.7000E+00 2.3000E-01
 6.2200E+00 9.0000E+01 4.0000E+00 2.0000E-01
 6.2200E+00 1.2000E+02 4.4000E+00 2.6000E-01
 6.2200E+00 1.5000E+02 5.1000E+00 3.2000E-01
 6.4100E+00 3.0000E+01 6.8000E+00 3.2000E-01
 6.4100E+00 6.0000E+01 4.7000E+00 2.3000E-01
 6.4100E+00 9.0000E+01 4.2000E+00 2.1000E-01
 6.4100E+00 1.2000E+02 4.2000E+00 2.4000E-01
 6.4100E+00 1.5000E+02 5.0000E+00 3.0000E-01
 6.6100E+00 3.0000E+01 7.0500E+00 3.3000E-01
 6.6100E+00 6.0000E+01 4.5500E+00 2.3000E-01
 6.6100E+00 9.0000E+01 4.0000E+00 2.1000E-01
 6.6100E+00 1.2000E+02 3.8000E+00 2.2000E-01
 6.6100E+00 1.5000E+02 4.7000E+00 3.0000E-01
 6.8200E+00 3.0000E+01 6.2500E+00 2.9000E-01
 6.8200E+00 6.0000E+01 4.5500E+00 2.3000E-01
 6.8200E+00 9.0000E+01 3.6500E+00 1.9000E-01
 6.8200E+00 1.2000E+02 3.3500E+00 2.0000E-01
 6.8200E+00 1.5000E+02 4.3000E+00 2.7000E-01
 6.9700E+00 3.0000E+01 7.1000E+00 3.3000E-01
 6.9700E+00 6.0000E+01 4.5000E+00 2.2000E-01
 6.9700E+00 9.0000E+01 3.5000E+00 1.8000E-01
 6.9700E+00 1.2000E+02 3.2500E+00 1.9000E-01
 6.9700E+00 1.5000E+02 4.2000E+00 2.6000E-01
 7.2000E+00 3.0000E+01 6.9000E+00 3.3000E-01
 7.2000E+00 6.0000E+01 4.2000E+00 2.1000E-01
 7.2000E+00 9.0000E+01 3.4000E+00 1.8000E-01
 7.2000E+00 1.2000E+02 3.3000E+00 2.0000E-01
 7.2000E+00 1.5000E+02 3.8500E+00 2.5000E-01
 7.4300E+00 3.0000E+01 6.3000E+00 2.9000E-01
 7.4300E+00 6.0000E+01 4.4000E+00 2.2000E-01
 7.4300E+00 9.0000E+01 3.7000E+00 2.0000E-01
 7.4300E+00 1.2000E+02 3.6000E+00 2.2000E-01
 7.4300E+00 1.5000E+02 4.3000E+00 2.9000E-01
 7.6000E+00 3.0000E+01 6.2000E+00 2.9000E-01
 7.6000E+00 6.0000E+01 4.1000E+00 2.0000E-01
 7.6000E+00 9.0000E+01 3.2500E+00 1.7000E-01
 7.6000E+00 1.2000E+02 2.9000E+00 1.9000E-01
 7.6000E+00 1.5000E+02 3.7000E+00 2.6000E-01
 7.7700E+00 3.0000E+01 6.2000E+00 2.9000E-01
 7.7700E+00 6.0000E+01 3.8000E+00 1.9000E-01
 7.7700E+00 9.0000E+01 3.2000E+00 1.7000E-01
 7.7700E+00 1.2000E+02 2.8000E+00 1.7000E-01
 7.7700E+00 1.5000E+02 3.5000E+00 2.5000E-01
 7.9500E+00 3.0000E+01 6.2000E+00 2.8000E-01
 7.9500E+00 6.0000E+01 3.7000E+00 1.8000E-01
 7.9500E+00 9.0000E+01 3.0000E+00 1.6000E-01
 7.9500E+00 1.2000E+02 2.8000E+00 1.8000E-01
 7.9500E+00 1.5000E+02 3.4800E+00 2.4000E-01
 8.1300E+00 3.0000E+01 6.1000E+00 2.8000E-01
 8.1300E+00 6.0000E+01 3.7000E+00 1.8000E-01
 8.1300E+00 9.0000E+01 3.0000E+00 1.6000E-01
 8.1300E+00 1.2000E+02 2.6000E+00 1.6000E-01
 8.1300E+00 1.5000E+02 3.3000E+00 2.4000E-01
 8.3200E+00 3.0000E+01 6.1000E+00 2.8000E-01
 8.3200E+00 6.0000E+01 3.6500E+00 1.9000E-01
 8.3200E+00 9.0000E+01 2.9000E+00 1.6000E-01
 8.3200E+00 1.2000E+02 2.4000E+00 1.6000E-01
 8.3200E+00 1.5000E+02 3.3000E+00 2.5000E-01
 8.5100E+00 3.0000E+01 5.9000E+00 2.8000E-01
 8.5100E+00 6.0000E+01 3.6000E+00 1.8000E-01
 8.5100E+00 9.0000E+01 2.7500E+00 1.5000E-01
 8.5100E+00 1.2000E+02 2.3000E+00 1.4000E-01
 8.5100E+00 1.5000E+02 2.9800E+00 2.4000E-01
 8.7200E+00 3.0000E+01 6.1500E+00 2.8000E-01
 8.7200E+00 6.0000E+01 3.5000E+00 1.7000E-01
 8.7200E+00 9.0000E+01 2.6000E+00 1.5000E-01
 8.7200E+00 1.2000E+02 2.3000E+00 1.5000E-01
 8.7200E+00 1.5000E+02 2.7300E+00 2.2000E-01
 8.9300E+00 3.0000E+01 5.9000E+00 2.7000E-01
 8.9300E+00 6.0000E+01 3.2500E+00 1.6000E-01
 8.9300E+00 9.0000E+01 2.4000E+00 1.3000E-01
 8.9300E+00 1.2000E+02 2.2000E+00 1.4000E-01
 8.9300E+00 1.5000E+02 2.5500E+00 2.3000E-01
