      106.7      107.2      2.293
      107.2      107.7      1.928
      107.7      108.2      1.573
      108.2      108.7      1.499
      108.7      109.2      1.386
      109.2      109.7      1.163
      109.7      110.2      1.217
      110.2      110.7      1.183
      110.7      111.2      1.020
      111.2      111.7      1.082
      111.7      112.2      1.056
      112.2      112.7     0.9566
      112.7      113.2     0.7163
      113.2      113.7     0.3499
      113.7      114.2     0.1334
      114.2      114.7 3.7974E-02
      114.7      115.2 2.3123E-02
      115.2      115.7         0.
      115.7      116.2 1.7597E-02
      116.2      116.7         0.
      116.7      117.2 5.9649E-03
      117.2      117.7 7.8728E-03
      117.7      118.2 1.5428E-02
      118.2      118.7         0.
      118.7      119.2 2.3553E-02
      119.2      119.7 4.9532E-02
      119.7      120.2 6.6220E-02
ENDDATA            183
EN         ANG
MEV        ADEG
       120.        11.
ENDCOMMON            3
DATA                 3        181
E-MIN      E-MAX      DATA
MEV        MEV        MB/SR/MEV
      29.75      30.25      3.088
      30.25      30.75      3.176
      30.75      31.25      3.391
      31.25      31.75      3.329
      31.75      32.25      3.386
      32.25      32.75      3.358
      32.75      33.25      3.397
      33.25      33.75      3.253
      33.75      34.25      3.316
      34.25      34.75      3.467
      34.75      35.25      3.324
      35.25      35.75      3.373
      35.75      36.25      3.616
      36.25      36.75      3.477
      36.75      37.25      3.532
      37.25      37.75      3.667
      37.75      38.25      3.819
      38.25      38.75      3.596
      38.75      39.25      3.610
      39.25      39.75      3.588
      39.75      40.25      3.538
      40.25      40.75      3.572
      40.75      41.25      3.500
      41.25      41.75      3.435
      41.75      42.25      3.525
      42.25      42.75      3.510
      42.75      43.25      3.443
      43.25      43.75      3.568
      43.75      44.25      3.465
      44.25      44.75      3.227
      44.75      45.25      3.437
      45.25      45.75      3.280
      45.75      46.25      3.305
      46.25      46.75      3.264
      46.75      47.25      3.301
      47.25      47.75      3.423
      47.75      48.25      3.206
      48.25      48.75      3.200
      48.75      49.25      3.316
      49.25      49.75      3.143
      49.75      50.25      3.087
      50.25      50.75      3.189
      50.75      51.25      3.151
      51.25      51.75      3.045
      51.75      52.25      3.119
      52.25      52.75      3.266
      52.75      53.25      3.112
      53.25      53.75      3.220
      53.75      54.25      3.155
      54.25      54.75      3.236
      54.75      55.25      3.190
      55.25      55.75      3.135
      55.75      56.25      3.186
      56.25      56.75      3.211
      56.75      57.25      3.248
      57.25      57.75      3.123
      57.75      58.25      3.261
      58.25      58.75      3.192
      58.75      59.25      3.275
      59.25      59.75      3.303
      59.75      60.25      3.461
      60.25      60.75      3.154
      60.75      61.25      3.368
      61.25      61.75      3.439
      61.75      62.25      3.419
      62.25      62.75      3.300
      62.75      63.25      3.318
      63.25      63.75      3.454
      63.75      64.25      3.386
      64.25      64.75      3.352
      64.75      65.25      3.465
      65.25      65.75      3.276
      65.75      66.25      3.498
      66.25      66.75      3.562
      66.75      67.25      3.451
      67.25      67.75      3.518
      67.75      68.25      3.594
      68.25      68.75      3.631
      68.75      69.25      3.636
      69.25      69.75      3.551
      69.75      70.25      3.606
      70.25      70.75      3.535
      70.75      71.25      3.563
      71.25      71.75      3.749
      71.75      72.25      3.717
      72.25      72.75      3.820
      72.75      73.25      3.714
      73.25      73.75      3.772
      73.75      74.25      3.878
      74.25      74.75      3.838
      74.75      75.25      3.866
      75.25      75.75      3.953
      75.75      76.25      3.901
      76.25      76.75      3.899
      76.75      77.25      3.954
      77.25      77.75      4.027
      77.75      78.25      4.014
      78.25      78.75      4.082
      78.75      79.25      4.224
      79.25      79.75      4.198
      79.75      80.25      4.161
      80.25      80.75      4.454
      80.75      81.25      4.398
      81.25      81.75      4.487
      81.75      82.25      4.462
      82.25      82.75      4.666
      82.75      83.25      4.558
      83.25      83.75      4.573
      83.75      84.25      4.693
      84.25      84.75      4.625
      84.75      85.25      4.433
      85.25      85.75      4.652
      85.75      86.25      4.584
      86.25      86.75      4.653
      86.75      87.25      4.647
      87.25      87.75      4.684
      87.75      88.25      4.516
      88.25      88.75      4.553
      88.75      89.25      4.502
      89.25      89.75      4.311
      89.75      90.25      4.581
      90.25      90.75      4.600
      90.75      91.25      4.568
      91.25      91.75      4.664
      91.75      92.25      4.466
      92.25      92.75      4.351
      92.75      93.25      4.293
      93.25      93.75      4.227
      93.75      94.25      3.996
      94.25      94.75      3.890
      94.75      95.25      3.812
      95.25      95.75      3.726
      95.75      96.25      3.701
      96.25      96.75      3.623
      96.75      97.25      3.692
      97.25      97.75      3.698
      97.75      98.25      3.660
      98.25      98.75      3.696
      98.75      99.25      4.259
      99.25      99.75      4.585
      99.75      100.2      3.912
      100.2      100.7      3.269
      100.7      101.2      2.761
      101.2      101.7      2.527
      101.7      102.2      2.246
      102.2      102.7      2.172
      102.7      103.2      2.081
      103.2      103.7      1.913
      103.7      104.2      1.952
      104.2      104.7      1.795
      104.7      105.2      1.801
      105.2      105.7      1.691
      105.7      106.2      1.667
      106.2      106.7      1.611
      106.7      107.2      1.479
      107.2      107.7      1.362
      107.7      108.2      1.332
      108.2      108.7      1.295
      108.7      109.2      1.296
      109.2      109.7      1.242
      109.7      110.2      1.156
      110.2      110.7      1.043
      110.7      111.2     0.9168
      111.2      111.7      1.088
